line_number,speaker,text,label,file_name
1,TODD,"Good evening, and welcome to the MSNBC Democratic candidates debate.",0,20160209_msnbc_dem.tsv
2,MADDOW,We are super excited to be here at the University of New Hampshire.,0,20160209_msnbc_dem.tsv
3,MADDOW,"Tonight, this is the first time that Hillary Clinton and Bernie Sanders have squared off exactly like this.",0,20160209_msnbc_dem.tsv
4,MADDOW,"Face-to-face, just one-on-one, just the two of them.",0,20160209_msnbc_dem.tsv
5,TODD,And neither party has seen this yet.,0,20160209_msnbc_dem.tsv
6,TODD,"These candidates are both running for the Democratic nomination, but they are very different from each other when it comes to what matters most and how they would go about the job of being president.",0,20160209_msnbc_dem.tsv
7,TODD,"Our job tonight is to draw out those differences so you, the voters, can understand them and be fully informed.",0,20160209_msnbc_dem.tsv
8,MADDOW,And we do hope that the candidates will take this opportunity to show us the distinctions -- show us the differences between them.,0,20160209_msnbc_dem.tsv
9,MADDOW,That's the whole reason that we're here tonight.,0,20160209_msnbc_dem.tsv
10,MADDOW,We're not here for talking points.,0,20160209_msnbc_dem.tsv
11,MADDOW,We're to learn about the difference between the candidates.,0,20160209_msnbc_dem.tsv
12,MADDOW,"And with that, let's get going.",0,20160209_msnbc_dem.tsv
13,MADDOW,Please join us in welcoming Secretary Hillary Clinton and Senator Bernie Sanders.,0,20160209_msnbc_dem.tsv
14,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
15,TODD,"First, I want to say a special thanks to the New Hampshire union leader for helping make this debate possible, and the readers, who helped provide some of the questions and topics that we'll be addressing tonight.",0,20160209_msnbc_dem.tsv
16,TODD,"The rules tonight, by the way, are simple",0,20160209_msnbc_dem.tsv
17,TODD,"90 seconds for answers, 30 seconds for follow-ups and rebuttals.",0,20160209_msnbc_dem.tsv
18,MADDOW,"And with that, that's it.",0,20160209_msnbc_dem.tsv
19,MADDOW,We're going to begin with 60- second opening statements from each of the candidates.,0,20160209_msnbc_dem.tsv
20,MADDOW,"And as agreed to in advance by the two campaigns, we're going to begin tonight with Senator Sanders.",0,20160209_msnbc_dem.tsv
21,SANDERS,"Rachel, thank you very much.",0,20160209_msnbc_dem.tsv
22,SANDERS,Millions of Americans are giving up on the political process.,0,20160209_msnbc_dem.tsv
23,SANDERS,And they're giving up on the political process because they understand the economy is rigged.,0,20160209_msnbc_dem.tsv
24,SANDERS,They are working longer hours for low wages.,1,20160209_msnbc_dem.tsv
25,SANDERS,"They're worried about the future of their kids, and yet almost all new income and wealth is going to the top 1 percent.",1,20160209_msnbc_dem.tsv
26,SANDERS,Not what America is supposed to be about.,0,20160209_msnbc_dem.tsv
27,SANDERS,Not the fairness that we grew up believing that America was about.,0,20160209_msnbc_dem.tsv
28,SANDERS,"And then sustaining that rigged economy is a corrupt campaign finance system undermining American democracy, where billionaire, Wall Street, corporate America can contribute unlimited sums of money into super PACs and into candidates.",0,20160209_msnbc_dem.tsv
29,SANDERS,"Our job, together, is to end a rigged economy, create an economy that works for all, and absolutely overturn Citizens United.",0,20160209_msnbc_dem.tsv
30,SANDERS,"One person, one vote.",0,20160209_msnbc_dem.tsv
31,SANDERS,That's what American democracy is about.,0,20160209_msnbc_dem.tsv
32,TODD,"Thank you, Senator.",0,20160209_msnbc_dem.tsv
33,TODD,Secretary Clinton.,0,20160209_msnbc_dem.tsv
34,CLINTON,"Well, I'm happy to be here in New Hampshire for this debate, as we move toward the primary on Tuesday.",0,20160209_msnbc_dem.tsv
35,CLINTON,"I believe that America has the opportunity to once again live by our values, live up to our values in the 21st century, but I think that America can only do that if Americans can succeed.",0,20160209_msnbc_dem.tsv
36,CLINTON,And there are lots of reasons why Americans today are feeling left out and left behind.,0,20160209_msnbc_dem.tsv
37,CLINTON,"Yes, of course, the economy has not been working for most Americans.",0,20160209_msnbc_dem.tsv
38,CLINTON,"Yes, of course, we have special interests that are unfortunately doing too much to rig the game.",0,20160209_msnbc_dem.tsv
39,CLINTON,"But there's also the continuing challenges of racism, of sexism, of discrimination against the LGBT community, of the way that we treat people as opposed to how we want to be treated.",0,20160209_msnbc_dem.tsv
40,CLINTON,I believe that we can get back on the right track.,0,20160209_msnbc_dem.tsv
41,CLINTON,"I want to imagine a country where people's wages reflect their hard work, where we have healthcare for everyone, and where every child gets to live up to his or her potential.",0,20160209_msnbc_dem.tsv
42,CLINTON,"I'm fighting for people who cannot wait for those changes, and I'm not making promises that I cannot keep.",0,20160209_msnbc_dem.tsv
43,TODD,All right.,0,20160209_msnbc_dem.tsv
44,TODD,Let's get started.,0,20160209_msnbc_dem.tsv
45,TODD,"Secretary Clinton, last night you cited the Concord Monitor when you said of Senator Sanders that, quote, ""It's very hard to see how any of his proposals could ever be achievable.""",0,20160209_msnbc_dem.tsv
46,TODD,"So please tell us why you think if he's elected president on a platform of promising things like free public college and universal healthcare, that he cannot achieve those things.",0,20160209_msnbc_dem.tsv
47,CLINTON,"Well, let me start by saying that Senator Sanders and I share some very big progressive goals.",0,20160209_msnbc_dem.tsv
48,CLINTON,"I've been fighting for universal healthcare for many years, and we're now on the path to achieving it.",0,20160209_msnbc_dem.tsv
49,CLINTON,I don't want us to start over again.,0,20160209_msnbc_dem.tsv
50,CLINTON,"I think that would be a great mistake, to once again plunge our country into a contentious debate about whether we should have and what kind of system we should have for healthcare.",0,20160209_msnbc_dem.tsv
51,CLINTON,I want to build on the progress we've made; got from 90 percent coverage to 100 percent coverage.,0,20160209_msnbc_dem.tsv
52,CLINTON,And I don't want to rip away the security that people finally have; 18 million people now have healthcare; preexisting conditions are no longer a bar.,0,20160209_msnbc_dem.tsv
53,CLINTON,So we have a difference.,0,20160209_msnbc_dem.tsv
54,CLINTON,"I also believe in affordable college, but I don't believe in free college, because every expert that I have talked to says, look, how will you ever control the costs.",0,20160209_msnbc_dem.tsv
55,CLINTON,"What I want to do is make sure middle class kids, not Donald Trump's kids, get to be able to afford college.",0,20160209_msnbc_dem.tsv
56,CLINTON,I want to get the economy going again.,0,20160209_msnbc_dem.tsv
57,CLINTON,"It's not just enough about what we're against, as important as that is.",0,20160209_msnbc_dem.tsv
58,CLINTON,"I have a plan to create new jobs, manufacturing, infrastructure, clean energy jobs that will make us the 21st century clean energy super power.",0,20160209_msnbc_dem.tsv
59,CLINTON,I also want to make sure small businesses can start and grow again.,0,20160209_msnbc_dem.tsv
60,CLINTON,"And of course, I believe in raising the minimum wage and equal pay for work.",0,20160209_msnbc_dem.tsv
61,CLINTON,"But the numbers just don't add up, from what Senator Sanders has been proposing.",0,20160209_msnbc_dem.tsv
62,CLINTON,"That's why all of the independent experts, all of the editorial boards that have vetted both of us have concluded that it is just not achievable.",0,20160209_msnbc_dem.tsv
63,CLINTON,Let's go down a path where we can actually tell people what we will do.,0,20160209_msnbc_dem.tsv
64,CLINTON,A progressive is someone who makes progress.,0,20160209_msnbc_dem.tsv
65,CLINTON,That's what I intend to do.,0,20160209_msnbc_dem.tsv
66,TODD,"Thank you, Secretary.",0,20160209_msnbc_dem.tsv
67,TODD,"Senator Sanders, so just explain how you spent nearly two decades in Congress and haven't gotten any of these things passed.",0,20160209_msnbc_dem.tsv
68,TODD,"Why do you think as president you'll be able to achieve big, big new programs like this?",0,20160209_msnbc_dem.tsv
69,SANDERS,"Well, I haven't quite run for president before.",0,20160209_msnbc_dem.tsv
70,SYSTEM,(LAUGHTER),0,20160209_msnbc_dem.tsv
71,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
72,SANDERS,Let's deal with some of the comments that Secretary Clinton made.,0,20160209_msnbc_dem.tsv
73,SANDERS,"And by the way, you know, sometimes there's a lot of drama here.",0,20160209_msnbc_dem.tsv
74,SANDERS,I have known Secretary Clinton for 25 years and respect her very much.,0,20160209_msnbc_dem.tsv
75,SANDERS,Here is the issue.,0,20160209_msnbc_dem.tsv
