"sentence_id"	"label"	"text"
1	0	"Good evening, and welcome to the MSNBC Democratic candidates debate."
2	0	We are super excited to be here at the University of New Hampshire.
3	0	"Tonight, this is the first time that Hillary Clinton and Bernie Sanders have squared off exactly like this."
4	0	"Face-to-face, just one-on-one, just the two of them."
5	0	And neither party has seen this yet.
6	0	"These candidates are both running for the Democratic nomination, but they are very different from each other when it comes to what matters most and how they would go about the job of being president."
7	0	"Our job tonight is to draw out those differences so you, the voters, can understand them and be fully informed."
8	0	And we do hope that the candidates will take this opportunity to show us the distinctions -- show us the differences between them.
9	0	That's the whole reason that we're here tonight.
10	0	We're not here for talking points.
11	0	We're to learn about the difference between the candidates.
12	0	"And with that, let's get going."
13	0	Please join us in welcoming Secretary Hillary Clinton and Senator Bernie Sanders.
14	0	(APPLAUSE)
15	0	"First, I want to say a special thanks to the New Hampshire union leader for helping make this debate possible, and the readers, who helped provide some of the questions and topics that we'll be addressing tonight."
16	0	"The rules tonight, by the way, are simple"
17	0	"90 seconds for answers, 30 seconds for follow-ups and rebuttals."
18	0	"And with that, that's it."
19	0	We're going to begin with 60- second opening statements from each of the candidates.
20	0	"And as agreed to in advance by the two campaigns, we're going to begin tonight with Senator Sanders."
21	0	"Rachel, thank you very much."
22	0	Millions of Americans are giving up on the political process.
23	0	And they're giving up on the political process because they understand the economy is rigged.
24	1	They are working longer hours for low wages.
25	1	"They're worried about the future of their kids, and yet almost all new income and wealth is going to the top 1 percent."
26	0	Not what America is supposed to be about.
27	0	Not the fairness that we grew up believing that America was about.
28	0	"And then sustaining that rigged economy is a corrupt campaign finance system undermining American democracy, where billionaire, Wall Street, corporate America can contribute unlimited sums of money into super PACs and into candidates."
29	0	"Our job, together, is to end a rigged economy, create an economy that works for all, and absolutely overturn Citizens United."
30	0	"One person, one vote."
31	0	That's what American democracy is about.
32	0	"Thank you, Senator."
33	0	Secretary Clinton.
34	0	"Well, I'm happy to be here in New Hampshire for this debate, as we move toward the primary on Tuesday."
35	0	"I believe that America has the opportunity to once again live by our values, live up to our values in the 21st century, but I think that America can only do that if Americans can succeed."
36	0	And there are lots of reasons why Americans today are feeling left out and left behind.
37	0	"Yes, of course, the economy has not been working for most Americans."
38	0	"Yes, of course, we have special interests that are unfortunately doing too much to rig the game."
39	0	"But there's also the continuing challenges of racism, of sexism, of discrimination against the LGBT community, of the way that we treat people as opposed to how we want to be treated."
40	0	I believe that we can get back on the right track.
41	0	"I want to imagine a country where people's wages reflect their hard work, where we have healthcare for everyone, and where every child gets to live up to his or her potential."
42	0	"I'm fighting for people who cannot wait for those changes, and I'm not making promises that I cannot keep."
43	0	All right.
44	0	Let's get started.
45	0	"Secretary Clinton, last night you cited the Concord Monitor when you said of Senator Sanders that, quote, ""It's very hard to see how any of his proposals could ever be achievable."""
46	0	"So please tell us why you think if he's elected president on a platform of promising things like free public college and universal healthcare, that he cannot achieve those things."
47	0	"Well, let me start by saying that Senator Sanders and I share some very big progressive goals."
48	0	"I've been fighting for universal healthcare for many years, and we're now on the path to achieving it."
49	0	I don't want us to start over again.
50	0	"I think that would be a great mistake, to once again plunge our country into a contentious debate about whether we should have and what kind of system we should have for healthcare."
51	0	I want to build on the progress we've made; got from 90 percent coverage to 100 percent coverage.
52	0	And I don't want to rip away the security that people finally have; 18 million people now have healthcare; preexisting conditions are no longer a bar.
53	0	So we have a difference.
54	0	"I also believe in affordable college, but I don't believe in free college, because every expert that I have talked to says, look, how will you ever control the costs."
55	0	"What I want to do is make sure middle class kids, not Donald Trump's kids, get to be able to afford college."
56	0	I want to get the economy going again.
57	0	"It's not just enough about what we're against, as important as that is."
58	0	"I have a plan to create new jobs, manufacturing, infrastructure, clean energy jobs that will make us the 21st century clean energy super power."
59	0	I also want to make sure small businesses can start and grow again.
60	0	"And of course, I believe in raising the minimum wage and equal pay for work."
61	0	"But the numbers just don't add up, from what Senator Sanders has been proposing."
62	0	"That's why all of the independent experts, all of the editorial boards that have vetted both of us have concluded that it is just not achievable."
63	0	Let's go down a path where we can actually tell people what we will do.
64	0	A progressive is someone who makes progress.
65	0	That's what I intend to do.
66	0	"Thank you, Secretary."
67	0	"Senator Sanders, so just explain how you spent nearly two decades in Congress and haven't gotten any of these things passed."
68	0	"Why do you think as president you'll be able to achieve big, big new programs like this?"
69	0	"Well, I haven't quite run for president before."
70	0	(LAUGHTER)
71	0	(APPLAUSE)
