1	KELLY	Good evening, and welcome to the fabulous FOX Theatre in downtown Detroit, the site of the 11th Republican presidential debate of the 2016 campaign.
2	KELLY	I'm Megyn Kelly, along with my co-moderators, Bret Baier and Chris Wallace.
3	BAIER	59 Republican delegates are at stake here in the state of Michigan during next Tuesday's Republican primary, the biggest prize out of four states holding contests that day.
4	BAIER	For tonight's debate we're partnering with Facebook.
5	BAIER	The conversation about this election has been intense, as the crowd is here.
6	BAIER	Since January 1st, 53 million people in the U.S. have been talking about the election on Facebook.
7	WALLACE	Tonight there are just four candidates on this stage.
8	WALLACE	Their position has been determined by their standing in an average of the five most recent national polls as recognized by FOX News, and conducted and released by March 1st.
9	WALLACE	Here they are.
10	SYSTEM	[ cheering and applause ]
11	WALLACE	Texas Senator, Ted Cruz.
12	SYSTEM	[ cheering and applause ]
13	WALLACE	Florida Senator, Marco Rubio.
14	SYSTEM	[ cheering and applause ]
15	WALLACE	And, Ohio Governor, John Kasich.
16	SYSTEM	[ cheering and applause ]
17	KELLY	Tonight's rules are simple.
18	KELLY	Up to 60 seconds for each answer, 30 seconds for each follow-up response, and if a candidate goes over the allotted time, you will hear this.
19	SYSTEM	[ bell ringing ]
20	BAIER	So pleasant.
21	KELLY	Really.
22	BAIER	We have a big crowd here, and while we expect the audience to be enthusiastic and responsive at times...
23	SYSTEM	[ cheering and applause ]
24	BAIER	... they may have already been — we also expect them to be respectful, and we want the candidates to get their full time.
25	BAIER	So, somewhere between a library and a Red Wings game.
26	SYSTEM	[ laughter and cheering ]
27	BAIER	Am I right?
28	BAIER	Is that OK?
29	BAIER	Let's get started.
30	WALLACE	Mr. Trump, as you may have heard, the 2012 Republican nominee for President, Mitt Romney, had some things to say about you today.
31	WALLACE	He said your domestic policy will lead to recession, he's said your foreign policy will make us less safe, and then he listed what he said are your personal qualities.
32	WALLACE	Quoting now Romney on Trump, quote, "the bullying, the greed, the showing off, the misogyny, the absurd, third-grade theatrics".
33	SYSTEM	[ cheering ]
34	WALLACE	He challenged you to answer with substance, not insults.
35	WALLACE	How do you answer Mitt Romney, sir?
36	TRUMP	Well look, he was a failed candidate, he should have beaten president Obama very easy.
37	TRUMP	He failed miserably, and it was an embarrassment to everybody, including the Republican party.
38	TRUMP	It looked like he went away on a vacation the last month.
39	TRUMP	So, I don't take that, and I guess, obviously, he wants to be relevant.
40	TRUMP	He wants to be back in the game.
41	TRUMP	As far as domestic policy and trade which is killing our country, he said free trade and I believe in free trade also.
42	TRUMP	But, if you look at China, and you look Japan, and if you look at Mexico, both at the border, by the way, where they're killing us.
43	TRUMP	Both at the border, and with trade — and every other country we do business with we are getting absolutely crushed on trade.
44	TRUMP	And, he said free trade, I say free trade great.
45	TRUMP	But, not when they're beating us so badly.
46	TRUMP	With China we're going to lose $505 billion dollars in terms of trades.
47	TRUMP	You just can't do it.
48	TRUMP	Mexico, $58 billion dollars.
