1	SYSTEM	[ Speaking in Spanish ]
2	SYSTEM	[ through translator ]
3	SALINAS	This will be the first and only debate the candidates will do, taking into account the millions of
4	SALINAS	[ inaudible ] voters
5	SYSTEM	[ inaudible ]
6	SALINAS	Univision News, together with the Washington Post.
7	SYSTEM	[ through translator ]
8	RAMOS	Here with us tonight is Karen Tumulty, Washington Post correspondent
9	SYSTEM	[ inaudible ]
10	RAMOS	specialized in national policy.
11	SALINAS	Welcome, Karen.
12	SYSTEM	[ through translator ]
13	SALINAS	Now, we're going to welcome the protagonists of this debate.
14	SALINAS	First, former Secretary of State Hillary Rodham Clinton.
15	SYSTEM	[ applause ]
16	SALINAS	And Senator from Vermont Bernie Sanders.
17	SYSTEM	[ applause ]
18	SALINAS	Welcome to both of you.
19	SALINAS	Thank you for being here.
20	SYSTEM	[ Speaking in Spanish ]
21	SYSTEM	[ through translator ]
22	SALINAS	Welcome to both of you.
23	SYSTEM	[ through translator ]
24	RAMOS	But before we continue, we want to welcome Sebastian de la Cruz who is going to sing the national anthem.
25	RAMOS	Sebastian, welcome.
26	RAMOS	Good evening.
27	SYSTEM	[ The National Anthem is performed. ]
28	SYSTEM	[ applause ]
29	SYSTEM	[ commercial break ]
30	SYSTEM	[ through translator ]
31	SALINAS	Thank you for being with us.
32	SALINAS	The Washington Post and Facebook, these are the results of this debate that the candidates have accepted.
33	SALINAS	They will have 90 seconds to answer each question.
34	SALINAS	When their rival mentions them in an answer, they will have 30 seconds to answer and another 30 seconds to answer questions, follow-up questions that we ask.
35	SYSTEM	[ through translator ]
36	RAMOS	We will make our questions in English and they will be translated simultaneously into Spanish for our viewers.
37	RAMOS	And right now, each one of them has one minute for your initial words.
38	RAMOS	We begin with Secretary Clinton.
39	CLINTON	Thank you very much.
40	CLINTON	I've been looking forward to this debate, and I want to thank Univision, the Washington Post, Facebook and Miami-Dade College, the largest college in North America for hosting us here this evening.
41	SYSTEM	[ applause ]
42	CLINTON	And tonight I am looking forward to the opportunity to discuss how we knock down the barriers that stand in the way of people getting ahead and staying ahead, starting with the economic ones.
43	CLINTON	My focus is on more good paying jobs with rising incomes for families and how we prevent corporations from taking jobs out of our country by imposing an exit tax, making them pay back any tax breaks they've gotten.
44	CLINTON	But we also need to be having a positive agenda for manufacturing.
45	CLINTON	for small businesses and entrepreneurs, for more clean energy jobs.
46	CLINTON	And I also look forward to discussing comprehensive immigration reform with a path to citizenship that will be one of my priorities in my first 100 days as president.
47	CLINTON	And I will also be talking about education, every child deserves a good teacher and a good school.
48	SALINAS	Thank you, Secretary.
49	CLINTON	And so thank you for having us, and I look forward to the debate.
50	SYSTEM	[ applause ]
51	SALINAS	Thank you.
52	SALINAS	Senator Sanders, your opening remarks.
53	SANDERS	Thank you — thank you all very much.
54	SANDERS	I'm running for president of the United States because given the crises facing our country, it is just too late for establishment politics and establishment economics.
55	SANDERS	Together we're going to have to overturn this disastrous Citizens United Supreme Court decision.
56	SYSTEM	[ applause ]
57	SANDERS	Billionaires and Wall Street should not be buying elections.
58	SANDERS	We've got to end this rigged economy where people are working longer hours for low wages, almost all new income and wealth going to the top 1 percent, and of course, we need comprehensive immigration reform and a path toward citizenship.
59	SANDERS	And here in Miami...
60	SYSTEM	[ applause ]
61	SANDERS	...here in Miami as much as any city in America, we know that we have got to combat climate change, transform our energy system, and leave this planet in a way that is healthy and habitable for our kids and our grandchildren.
62	SALINAS	Thank you, Senator.
63	SALINAS	First question, Secretary, you have been starting to sound like the nominee lately, but many voters are saying, not so fast.
64	SALINAS	Where did you fail last night in Michigan?
65	CLINTON	Well, look, I won one of the contests and lost another close one.
66	CLINTON	I am continuing to work hard for every single vote across our country.
67	CLINTON	I was pleased that I got 100,000 more votes last night than my opponent and more delegates.
68	CLINTON	So this is a marathon, and it's a marathon that can only be carried out by the kind of inclusive campaign that I'm running, a campaign that reaches out to everybody, a campaign that offers real positive solutions to the problems that we face, a campaign that is based on how together we can make progress, because I am a progressive who likes to get things done.
69	CLINTON	So I'm excited about the upcoming contests, including right here in Florida.
70	CLINTON	And we'll continue to work as hard as I can to earn the vote of every single voter.
71	SALINAS	What went wrong in Michigan?
72	SYSTEM	[ applause ]
73	SALINAS	What went wrong in Michigan?
74	SALINAS	What went wrong in Michigan?
75	SALINAS	What failed in Michigan specifically?
76	CLINTON	It was a very close race.
77	CLINTON	We've had some of those.
78	CLINTON	I've won some.
79	CLINTON	I've lost some.
80	CLINTON	But, you know, I was very pleased by the overall outcome last night.
81	CLINTON	And now we're on to the states for next Tuesday and I'm looking forward to campaigning hard in all of them.
82	SALINAS	Senator, aside from your astounding upset last night in Michigan, you are still far behind Secretary Clinton in delegate count.
83	SALINAS	She has 1,221 delegates, including superdelegates, and you have 571.
84	SALINAS	What is your pathway to make up the deficit, and can you realistically catch up?
85	SANDERS	Well, you know, when we began this campaign, I was 3% in the polls.
86	SANDERS	I was probably 60 or 70 points behind the Secretary.
87	SANDERS	We have come a long way in 10 months.
88	SANDERS	We have won...
89	SYSTEM	[ applause ]
90	SANDERS	...including Michigan last night, which some people,considered one of the major political upsets in modern American history.
91	SANDERS	We have won nine state primaries and caucuses.
92	SANDERS	And I believe that our message of the need for people to stand up and tell corporate America and Wall Street that they cannot have it all is resonating across this country.
93	SANDERS	And I think in the coming weeks and months, we are going to continue to do extremely well, win a number of these primaries, and convince superdelegates that Bernie Sanders is the strongest candidate to defeat Donald Trump.
94	SYSTEM	[ applause ]
95	RAMOS	Secretary Clinton, I want to disclose once again that my daughter Paula works for your campaign.
96	RAMOS	And now I have a question about your emails.
97	RAMOS	Your Republican opponents say that those emails have endangered our national security.
98	RAMOS	When you were secretary of state, you wrote 104 emails in your private server that the government now says contain classified information according to The Washington Post analysis.
99	RAMOS	That goes against a memo that you personally sent to your employees in 2011 directing all of them to use official email, precisely because of security concerns.
100	RAMOS	So it seems that you issued one set of rules for yourself and a different set of rules for the rest of the State Department.
101	RAMOS	So who specifically gave you permission to operate your email system as you did?
102	RAMOS	Was it President Barack Obama?
103	RAMOS	And would you drop out of the race if you get indicted?
104	CLINTON	Well, Jorge, there's a lot of questions in there.
105	CLINTON	And I'm going to give the same answer I've been giving for many months.
106	CLINTON	It wasn't the best choice.
107	CLINTON	I made a mistake.
108	CLINTON	It was not prohibited.
109	CLINTON	It was not in any way disallowed.
110	CLINTON	And as I have said and as now has come out, my predecessors did the same thing and many other people in the government.
111	CLINTON	But here's the cut to the chase facts.
112	CLINTON	I did not send or receive any emails marked classified at the time.
113	CLINTON	What you are talking about is retroactive classification.
114	CLINTON	And the reason that happens is when somebody asks or when you are asked to make information public, I asked all my emails to be made public.
115	CLINTON	Then all the rest of the government gets to weigh in.
116	CLINTON	And some other parts of the government, we're not exactly sure who, has concluded that some of the emails should be now retroactively classified.
117	CLINTON	They've just said the same thing to former Secretary Colin Powell.
118	CLINTON	They have said, we're going to retroactively classify emails you sent personally.
119	CLINTON	Now I think he was right when he said this is an absurdity.
120	CLINTON	And I think that what we have got here is a case of overclassification.
121	RAMOS	If we get your permission...
122	CLINTON	I am not concerned about it.
123	CLINTON	I am not worried about it and no Democrat or American should be either.
124	SYSTEM	[ applause ]
125	RAMOS	Secretary Clinton, the questions were, who gave you permission to cooperate?
126	RAMOS	Was it President Obama?
127	CLINTON	There was no permission to be asked.
128	CLINTON	It had been done by my predecessors.
129	CLINTON	It was permitted.
130	RAMOS	If you get indicted would you going to drop out?
131	CLINTON	Oh, for goodness — that's not going to happen.
132	CLINTON	I'm not even answering that question.
133	SYSTEM	[ applause ]
134	RAMOS	Senator Sanders, you have gone from saying the following, the American people are sick and tired of hearing about your damn e- mails, to claiming that it is a very serious issue.
135	RAMOS	Which is it?
136	SANDERS	There is a process under way, and that process will take its course.
137	SANDERS	Today in America, the middle class is disappearing.
138	SANDERS	We have massive levels of income and wealth inequality, climate change threatens the whole planet, 47 million people live in poverty.
139	SANDERS	I'm going to focus on the issues facing the working families of this country.
140	SANDERS	That process specifically.
141	TUMULTY	Secretary Clinton, you have known Donald Trump a long time.
142	TUMULTY	You have seen what kind of campaign he's running.
143	TUMULTY	Secretary Clinton, is Donald Trump a racist?
144	CLINTON	Karen, I'm going to follow my friend Senator Sanders model here.
145	CLINTON	If I'm so fortunate enough to be the Democratic nominee, there will be a lot of time to talk about him.
146	CLINTON	I was the first one to call him out.
