1	JAKE TAPPER, CNN	Live from The George Washington University in the nation's capital, this is CNN's debate night on the future of the Affordable Care Act, also known as Obamacare.
2	JAKE TAPPER, CNN	Welcome to our viewers in the United States and around the world.
3	JAKE TAPPER, CNN	I'm Jake Tapper.
4	DANA BASH, CNN	And I'm Dana Bash.
5	DANA BASH, CNN	President Trump has made the repeal and replacement of the Affordable Care Act one of his top priorities.
6	DANA BASH, CNN	To certain members of our audience, that legislation has been a life-saver.
7	DANA BASH, CNN	To others, it has harmed livelihoods.
8	DANA BASH, CNN	These defenders and supporters of Obamacare will get to question two leading members of Congress who will shape what comes next.
9	TAPPER	So, please welcome the runners-up for the Democratic and Republican nominations for president, in their first debate, Senator Bernie Sanders, independent of Vermont...
10	SYSTEM	(APPLAUSE)
11	TAPPER	... and Senator Ted Cruz, Republican of Texas.
12	SYSTEM	(APPLAUSE)
13	BASH	Senators, welcome.
14	BASH	Please take your positions behind the podiums.
15	BASH	Now, before your opening statements, I want to talk about the ground rules that you both agreed to.
16	BASH	You will get 90 seconds to answer questions posed to you, 45 seconds for responses and rebuttals.
17	BASH	Timing lights will guide you.
18	BASH	As we mentioned, a handful of members of our audience, which include both critics and defenders of the Affordable Care Act, will question you, in addition to questions from Jake and myself.
19	BASH	As moderators, we will guide the debate.
20	BASH	And we will begin with two-minute opening statements on what should happen to health care in America.
21	BASH	Senator Sanders?
22	SEN. BERNIE SANDERS, I-VT	Let me begin by thanking CNN for sponsoring this debate and let me thank all of those who are watching.
23	SEN. BERNIE SANDERS, I-VT	Let me get right to the point.
24	SEN. BERNIE SANDERS, I-VT	Senator Cruz, like most Republicans, has said that he wants to repeal the Affordable Care Act, or so-called Obamacare.
25	SEN. BERNIE SANDERS, I-VT	Let me tell you what that will mean to the American people.
26	SEN. BERNIE SANDERS, I-VT	It means that if you are one of 20 million Americans who finally has received health insurance, forget about it, you're gone.
27	SEN. BERNIE SANDERS, I-VT	You're off health insurance.
28	SEN. BERNIE SANDERS, I-VT	And that means when you get sick, you ain't going to be able to go to the doctor.
29	SEN. BERNIE SANDERS, I-VT	And when you end up in the hospital, you'll be paying those bills for the rest of your life, or maybe you'll go bankrupt.
30	SEN. BERNIE SANDERS, I-VT	What the repeal of the ACA means, that if you are one of 10 million senior citizens who today is struggling with the outrageous cost of prescription drugs, your prescription drug costs are going to go up on average about $2,000.
31	SEN. BERNIE SANDERS, I-VT	What the repeal of the ACA means is that if you are suffering with cancer, with diabetes, with serious mental illness, you will be put into a position where you may be rejected from any insurance at all, because you have a pre-existing condition.
32	SEN. BERNIE SANDERS, I-VT	And by the way, women are considered a pre-existing condition by the insurance companies because they might have a baby.
33	SEN. BERNIE SANDERS, I-VT	Is the ACA perfect?
34	SEN. BERNIE SANDERS, I-VT	No.
35	SEN. BERNIE SANDERS, I-VT	Nobody believes that it is.
36	SEN. BERNIE SANDERS, I-VT	And nobody believes that we do not need to improve it.
37	SEN. BERNIE SANDERS, I-VT	But the debate is whether we kill it entirely or we make improvements in it.
38	SEN. BERNIE SANDERS, I-VT	And I will tell you:  Overwhelming majority of the American people say do not simply repeal the ACA.
39	SEN. BERNIE SANDERS, I-VT	Make improvements.
40	SEN. BERNIE SANDERS, I-VT	Last point.
41	SEN. BERNIE SANDERS, I-VT	The United States is the only major country on Earth not to guarantee health care to all people as a right.
42	SEN. BERNIE SANDERS, I-VT	I believe we should move in that direction.
43	SEN. BERNIE SANDERS, I-VT	The ACA has been a step forward.
44	SEN. BERNIE SANDERS, I-VT	We have got to go further and join every other major country on Earth and say that if you are an American, you are guaranteed health care as a right, not a privilege.
45	SEN. BERNIE SANDERS, I-VT	Thank you.
46	BASH	Thank you, Senator Sanders.
47	BASH	Senator Cruz, what should happen with health care in America?
48	SEN. TED CRUZ, R-TX	Well, Dana, I think I get an opening statement, as well, so I'll start with that.
49	BASH	Please.
