1	Donald Trump	Thank you, Mike.
2	Donald Trump	Good morning.
3	Donald Trump	Hello, Ivanka.
4	Reed Cordish	I know you know a few of the people in this room.
5	Donald Trump	I do.
6	Donald Trump	I do.
7	Donald Trump	All the killers from New York -- I'm looking at all those competitive -- those great, great talents, great builders.
8	Reed Cordish	I have to give you a heads-up that Ivanka chaired one of the sessions before this -- tough act to follow.
9	Donald Trump	Oh, she's tough.
10	Donald Trump	Very tough.
11	Reed Cordish	Vice President Pence listed some of the amazing accomplishments that have taken place since your election and your 75 days in office.
12	Reed Cordish	The stock market has had almost unprecedented sustained growth, unprecedented confidence from our manufacturing sector and other business sectors, leading to massive private sector investment in job growth.
13	Reed Cordish	You have gotten rid of regulations that were unnecessary and were job-stifling.
14	Reed Cordish	You have strengthened our borders and strengthened our military.
15	Reed Cordish	You've nominated a great -- superb Supreme Court justice, amongst many other things.
16	Reed Cordish	How does all that feel?
17	Donald Trump	And we're getting unbelievable credit for what we've done, other than the mainstream media, which just gives us no credit whatsoever.
18	Donald Trump	But we are getting tremendous credit.
19	Donald Trump	And if you look at the real estate industry, the mining industry, the farming industry -- if you look at any of the major industries you see what's going.
20	Donald Trump	In fact, even today I was very happy as I read this morning early that our trade deficit with others has gone down very considerably in the last short period of time.
21	Donald Trump	It's having a big impact.
22	Donald Trump	And, as you know, I'm meeting with the President of China on Thursday and Friday in Palm Beach, Florida, and I think we're going to have a very interesting talk.
23	Donald Trump	We're having -- have a lot of respect for him.
24	Donald Trump	I've spoken to him numerous times.
25	Donald Trump	But we have to do better, because our deficit with China, as you know, $504 billion.
26	Donald Trump	That's a year.
27	Donald Trump	That's enough for a lifetime.
28	Donald Trump	Even Steve would say that.
29	Donald Trump	But that's a year.
30	Donald Trump	So we're going to have a great meeting, I'm sure we're going to have a fantastic meeting.
31	Donald Trump	And we're going to talk about a lot of things, including, of course, North Korea, a problem.
32	Donald Trump	And that's really a humanity problem.
33	Donald Trump	So we're going to be talking about that also.
34	Reed Cordish	You have made it a driving force in this administration to bring in the best minds we can from the private sector, to listen intently to them and to take decisive action.
35	Reed Cordish	How important is that, and how important is it to reform government to bridge the gap between the private and public sectors?
36	Donald Trump	Well, I did, I brought you, I brought Gary Cohn, I brought a lot of very great people -- my friend, Steve, is helping us out.
37	Donald Trump	We have a superstar committee of 22 people.
38	Donald Trump	And every time somebody calls me I say, Steve, put them on -- no, we want to keep it at this level.
39	Donald Trump	The heads of the biggest companies, they all want to be on our committee, right, Stephen?
40	Donald Trump	But Steve likes to keep it very small.
41	Donald Trump	But they will go off and they'll disappear and we'll put others on.
42	Donald Trump	But we've had some great meetings and we've all learned a lot.
43	Donald Trump	One thing that did come up, and it came up yesterday, was Gary Cohn -- where's Gary?
44	Donald Trump	Is he here?
45	Donald Trump	Could you bring that chart, please?
46	Donald Trump	Do you mind?
47	Donald Trump	Let me see that chart.
48	Donald Trump	So this was just something -- this is sort of incredible.
49	Donald Trump	That's so beautiful.
50	Donald Trump	Yeah, no, you're not quite -- this is to build a highway in the United States -- now, this was just done yesterday.
51	Donald Trump	I saw it for the first time.
52	Donald Trump	I said, I'm speaking to some of my friends who are builders, really great builders, and they've gone through the process -- we've all gone through it in New York -- we call it the zoning process in New York.
53	Donald Trump	But you start up here and this is anywhere from a 10 to 20-year process.
54	Donald Trump	You have -- is it 17 agencies.
55	Donald Trump	You have hundreds and hundreds of permits.
56	Donald Trump	Many of them are statutory, where you can't even apply for the second permit until six months go by.
57	Donald Trump	So this is to build a highway.
58	Donald Trump	This is a simple highway.
59	Donald Trump	And these are the agencies -- so it's 17 agencies.
60	Donald Trump	How many different steps is it?
61	Question	Sixteen different approvals.
62	Donald Trump	Sixteen.
63	Question	Twenty-nine different statutes.
64	Question	Five different executive orders that all apply to this process.
65	Question	This is indicative, so this is not a specific project, but this is the type of process that a government -- this is a state government -- would have to go through to permit a highway federally.
66	Question	This is just federal, not state regulations.
67	Donald Trump	So it can take anywhere from 10 -- if you're really good, 10 years to 20 years.
68	Donald Trump	And then they vote, and you lose.
69	Donald Trump	They don't want it.
70	SYSTEM	[Laughter]
71	Donald Trump	And it costs sometimes hundreds of millions of dollars just to go through the process.
72	Donald Trump	Thank you very much.
73	Donald Trump	That was a great job you did.
74	Donald Trump	Be careful, don't fall.
75	Donald Trump	I don't want to have you fall.
76	Donald Trump	You'll be a big story in the paper if you go down.
77	SYSTEM	[Laughter]
78	Donald Trump	So I just saw that yesterday.
79	Donald Trump	Gary Cohn walked in and he showed it to me, and -- for no reason.
80	Donald Trump	I said, you have to do me a favor.
81	Donald Trump	But a lot of you, you're such pros, some of the best pros in the world sitting in this room, you understand it.
82	Donald Trump	It's a process.
83	Donald Trump	Now, I've always liked it because it gave people that could go through that process an advantage, like Jerry, but it gave us an advantage if you could get through the process.
84	Donald Trump	But getting a building approved in New York is a horrible, horrible thing.
85	Donald Trump	And that's nothing compared to when you get into the highways and the dams -- they don't even talk about dams anymore.
86	Donald Trump	Hydropower is a great, great, form of power -- we don't even talk about it, because to get the environmental permits are virtually impossible.
87	Donald Trump	It's one of the best things you can do -- hydro.
88	Donald Trump	But we don't talk about it anymore.
89	Donald Trump	So we've come to a halt.
90	Donald Trump	We have a tremendous person that we put in charge of EPA, Scott Pruitt, who is an environmental person.
91	Donald Trump	He wants clean air, he wants clean water, but he doesn't thing it takes you 26 years to get a permit to build a building and to have jobs, at which time those companies are usually gone, out of business, et cetera.
92	Donald Trump	So we're really speeding up the process.
93	Donald Trump	We're going to try and take that process from a minimum of 10 years down to one year.
94	Donald Trump	I said can't we make it four months?
95	Donald Trump	Can't we do it in four months?
96	Donald Trump	And there is a certain logic to that, but we'll be satisfied with the year -- but it won't be any more than a year.
97	Donald Trump	So we have to build roads.
98	Donald Trump	We have to build highways.
99	Donald Trump	We're talking about a very major infrastructure bill of a trillion dollars -- perhaps even more.
100	Donald Trump	And when we have to do -- our jobs -- I mean, if we say, we're giving to New York City hundreds of millions of dollars to build a road someplace, it doesn't help if they can't start because it's going to take seven and a half years to get the permits.
101	Donald Trump	Even to redo a road takes years to get the permits.
102	Donald Trump	You know, you have a road that's there and you want to redo it, and you have to get new permits for the kind of asphalt you're using, the kind of concrete you may want to use.
103	Donald Trump	And if we're going to give all of this money -- you know, there was very large infrastructure bill that was approved during the Obama administration -- a trillion dollars -- nobody ever saw anything being built.
104	Donald Trump	I mean, to this day, I haven't heard of anything that's been built.
105	Donald Trump	They used most of that money -- it went, and they used it on social programs.
106	Donald Trump	And we want this to be on infrastructure.
107	Donald Trump	I'm working with Steve Roth and with Richard LeFrak -- two friends of mine that are very good builders.
108	Donald Trump	They're great builders.
109	Donald Trump	And they know to get things done.
110	Donald Trump	They know how to cut red tape.
111	Donald Trump	We're going to give them the advantage of having what we have.
112	Donald Trump	I see Elaine is here, so important, who is doing an incredible job, by the way -- Secretary of Transportation.
113	Donald Trump	And Elaine will be working.
114	Donald Trump	But we're going to set up a committee headed by Steve and Richard, and we're going to cut a lot of red tape.
115	Donald Trump	But we don't want to send a billion dollars to New York and find out, five years later, the money was never spent, because we're going to be very strong that it has to be spent on shovels, not on other programs.
116	Donald Trump	And in the last case, a lot of it was spent on other programs.
117	Donald Trump	But we're going to say, if you don't spend the money -- if you don't start -- if you have a job that you can't start within 90 days, we're not going to give you the money for it.
118	Donald Trump	Because it doesn't help -- doesn't help us.
119	Donald Trump	And we're going to be very strong on that.
120	Donald Trump	They have to be able to start within 90 days.
121	Reed Cordish	Mr. President, we have some of the great business leaders in the country here.
122	Reed Cordish	If okay with you, they have a few questions, if that's --
123	Donald Trump	Sure.
124	Reed Cordish	Great.
125	Donald Trump	Hello, Jerry.
126	SYSTEM	[Laughter]
127	Jerry Speyer	Hi, Mr. President.
128	SYSTEM	[Laughter]
129	Donald Trump	He didn't have to say his name.
130	Donald Trump	He was ready to say his name -- we know.
131	Donald Trump	Jerry Speyer, everybody.
132	Jerry Speyer	Mr. President, you're doing a great job, and we're all really grateful to you for the sacrifices you're making.
133	Jerry Speyer	Hope you heard that.
