1	Pat Robertson	Mr. President, I am so glad to see you.
2	Pat Robertson	I'm so proud of everything you're doing.
3	Donald Trump	Thank you.
4	Pat Robertson	Let me ask you.
5	Pat Robertson	You have just gotten back from the G-20.
6	Pat Robertson	You were traveling around the world.
7	Pat Robertson	What do you see as the major problem facing the world today?
8	Pat Robertson	What's the major issue?
9	Donald Trump	Well we have many problems.
10	Donald Trump	And I was left a very, very tough meal.
11	Donald Trump	I will say that.
12	Donald Trump	It was a mess.
13	Donald Trump	And I think we're doing very well.
14	Donald Trump	But North Korea certainly is a big problem.
15	Donald Trump	The; Middle East is a total mess.
16	Donald Trump	Other than in five months we have done more against ISIS than anybody has done since the beginning.
17	Donald Trump	And we're having tremendous success with that.
18	Donald Trump	But I would have to say, Middle East is a tough situation.
19	Donald Trump	But we're getting it straightened out.
20	Donald Trump	And ultimately, we want to start investing money back in the United States at our home.
21	Donald Trump	Yeah.
22	Donald Trump	But we have to get rid of ISIS.
23	Donald Trump	We have to get rid of the terrorists, as you know better than anybody.
24	Donald Trump	And the other is North Korea.
25	Donald Trump	We have somebody that is -- we will find out what he is.
26	Donald Trump	We're going to find out.
27	Pat Robertson	He has launched intercontinental missiles.
28	Pat Robertson	Is there a possibility that we might want to knock some of those down on the launch pad or right after launch?
29	Donald Trump	Well, we wouldn't want to be speaking about anything.
30	Donald Trump	But we're looking at lots of different ways.
31	Donald Trump	We're working with other countries, including China.
32	Donald Trump	I think China would like to see this problem go away.
33	Donald Trump	It's a big problem for them.
34	Donald Trump	And, you know, the advantage we have is trade.
35	Donald Trump	We have big trade with China.
36	Donald Trump	And I have a very good relationship with President Xi, who I like a lot.
37	Donald Trump	And I think he likes me.
38	Donald Trump	We were just spending a lot of time together.
39	Donald Trump	And they are very strong with regard to, as you know, with regard to North Korea.
40	Pat Robertson	Will they get tough with North Korea?
41	Pat Robertson	I know that you were so close when he was there visiting Mar-a-Lago.
42	Donald Trump	Well, we're going to see.
43	Donald Trump	We're going to see.
44	Donald Trump	I would say that we had a good chance.
45	Donald Trump	They had an election where President Moon got elected to South Korea.
46	Donald Trump	He has a much different attitude -- or a much different take -- on how to handle this situation than his predecessor in South Korea.
47	Donald Trump	He's perhaps softer on the issue, but maybe not, because I like him a lot.
48	Donald Trump	I think he's going to be a strong person.
49	Donald Trump	I think he's got strong views -- stronger than people would understand.
50	Donald Trump	So we'll see how it all works out.
51	Donald Trump	I think China wants to help us.
52	Donald Trump	We're going to find out whether or not they do.
53	Donald Trump	But China would, in my opinion, like to be able to help us.
54	Pat Robertson	What's our leverage with them?
55	Donald Trump	Well, our leverage with China is that China makes hundreds of billions of dollars a year with us on trade.
56	Donald Trump	And I want to renegotiate trade deals.
57	Donald Trump	But I would certainly be a lot easier in a trade deal if they were going to help us with North Korea than if they weren't.
58	Donald Trump	So we're going to see.
59	Donald Trump	The relationship is very good with China.
60	Donald Trump	It's very good with the president of China, who's a terrific person.
61	Donald Trump	We will find out whether or not they want to help.
62	Donald Trump	And maybe they do.
63	Donald Trump	And maybe they don't.
64	Pat Robertson	What about that consortium of Arab nations that went against Qatar.
65	Pat Robertson	Your secretary of state was not too favorable to what was being done.
66	Pat Robertson	How are we going to handle that one?
67	Donald Trump	Well, Rex is doing a terrific job.
68	Donald Trump	But he and I had a little bit of a difference, only in terms of tone.
69	Donald Trump	So we went to Saudi Arabia.
70	Donald Trump	We had one of the great meetings ever -- 54 Muslim countries.
71	Donald Trump	And I got up, made a speech, got nice reviews.
72	Donald Trump	It's almost like you making a speech.
73	Donald Trump	But I said, we've got to stop the funding of terrorism.
74	Donald Trump	Tremendous money, and they're funding terrorism.
75	Donald Trump	So we've got to stop it.
76	Donald Trump	So they are working very hard on that.
77	Donald Trump	And I believe they're going to do it.
78	Donald Trump	It was one of the most incredible two days.
79	Donald Trump	As an example, Saudi Arabia put up hundreds of billions of dollars of money going into buying our planes and our military equipment and investing in our country.
80	Donald Trump	And I said, you have to do that.
81	Donald Trump	Otherwise I'm not going.
82	Donald Trump	So they spent hundreds of billions of dollars right in front of us.
83	Donald Trump	They were signing and big people from the biggest countries in companies -- General Electric, and all of the big companies.
84	Donald Trump	Many of them were there getting contracts.
85	Donald Trump	All good work for our workers.
86	Donald Trump	That was one of the things.
87	Donald Trump	But the other thing is that -- and very important to me -- was the funding of terrorism has to stop.
88	Donald Trump	And they fund terrorism -- some of those countries, many of those countries.
89	Donald Trump	So we had a tremendous summit.
90	Donald Trump	And I think things are going to work out.
91	Donald Trump	I think it was a very, very important and very impressive two days.
92	Donald Trump	And now, as you know, Qatar -- which a lot of people call it Qatar -- but Qatar is now a little bit on the outs.
93	Donald Trump	But I think they are being brought back in.
94	Donald Trump	Because they were known as a funder of terrorism.
95	Donald Trump	And we said you can't do that.
