1	Donald Trump	Well, thank you very much, everybody.
2	Donald Trump	Appreciate it.
3	Donald Trump	We've had a very amazing two-day period in Brussels.
4	Donald Trump	And we really accomplished a lot, with respect to NATO.
5	Donald Trump	For years, Presidents have been coming to these meetings and talked about the expense -- the tremendous expense for the United States.
6	Donald Trump	And tremendous progress has been made; everyone has agreed to substantially up their commitment.
7	Donald Trump	They're going to up it at levels that they've never thought of before.
8	Donald Trump	Prior to last year, where I attended my first meeting, it was going down -- the amount of money being spent by countries was going down and down very substantially.
9	Donald Trump	And now, it's going up very substantially.
10	Donald Trump	And commitments were made.
11	Donald Trump	Only 5 of 29 countries were making their commitment.
12	Donald Trump	And that's now changed.
13	Donald Trump	The commitment was at 2 percent.
14	Donald Trump	Ultimately, that'll be going up quite a bit higher than that.
15	Donald Trump	So we are -- we made a tremendous amount of progress today.
16	Donald Trump	It's been about, at a minimum, they estimate -- and they're going to be giving you exact numbers -- but since last year, they've raise an additional $33 billion that's been put up by the various countries, not including the United States.
17	Donald Trump	And the United States' commitment to NATO is very strong, remains very strong, but primarily because everyone -- the spirit they have, the amount of money they're willing to spend, the additional money that they will be putting up has been really, really amazing to see it.
18	Donald Trump	To see the level of spirit in that room is incredible.
19	Donald Trump	And I hope that we're going to be able to get along with Russia.
20	Donald Trump	I think that we probably will be able to.
21	Donald Trump	The people in the room think so, but they nevertheless -- they really stepped up their commitment, and stepped it up like they never have before. So took in an addition $33
22	SYSTEM	[billion]
23	Donald Trump	. The number could actually be higher than $40
24	SYSTEM	[billion]
25	Donald Trump	when they give you the final number.
26	Donald Trump	The Secretary General, Stoltenberg, will be giving those numbers sometime today, probably in his concluding press statement.
27	Donald Trump	But we are doing numbers like they've never done before or ever seen before.
28	Donald Trump	And you'll be seeing that, and I guess you'll be hearing that a little bit later.
29	Donald Trump	Okay.
30	Donald Trump	We have our Secretary of State, as you know, and we have -- John is here.
31	Donald Trump	So if you have any questions for the three of us.
32	Donald Trump	Mike Pompeo just got back from a third trip, as you know, to North Korea.
33	Donald Trump	He's become a true expert on the trips to North Korea -- the best way to get there, the best way to get out.
34	Donald Trump	And he gets along very well.
35	Donald Trump	And he's doing a great job over there.
36	Donald Trump	Yes, ma'am.
37	Question	I have a question.
38	Donald Trump	Yes.
39	Tara McKelvey	Mr. President, I'm Tara McKelvey with the BBC.
40	Tara McKelvey	Can you tell us whether or not you warned people that the U.S. would pull out of NATO if they weren't meeting their spending goals?
41	Donald Trump	I told people that I'd be very unhappy if they didn't up their commitments very substantially, because the United States has been paying a tremendous amount, probably 90 percent of the cost of NATO.
42	Donald Trump	And now, people are going to start and countries are going to start upping their commitments.
43	Donald Trump	So I let them know yesterday, actually.
44	Donald Trump	I was surprised that you didn't pick it up; it took until today.
45	Donald Trump	But yesterday, I let them know that I was extremely unhappy with what was happening, and they have substantially upped their commitment, yeah.
46	Donald Trump	And now we're very happy and have a very, very powerful, very, very strong NATO, much stronger than it was two days ago.
47	Donald Trump	Yes, ma'am.
48	Question	Hi, President Trump.
49	Donald Trump	Yes, hi.
50	Donald Trump	How are you?
51	Question	I'm the White House Correspondent for PBS --
52	Donald Trump	I know.
53	Donald Trump	You're very famous on television.
54	Question	I have a question, again, about -- did you ever, at any point, say that the U.S., though, might stop engaging with NATO?
55	Question	And do you think that your rhetoric helps NATO cohesion, or are you worried that people might think that U.S. might not be as committed to NATO?
56	Question	There are a lot of people who say they were worried and stressed by what you did yesterday.
57	Donald Trump	Well, they were probably worried because the United States was not being treated fairly, but now we are, because the commitment has been upped so much.
58	Donald Trump	So now they are.
59	Donald Trump	And I was very firm yesterday.
60	Donald Trump	You have to understand, I know a lot of the people in the room.
61	Donald Trump	I was here last year.
62	Donald Trump	I let them know last year -- in a less firm manner, but pretty firm -- and they raised an additional $33 billion, I think going to $40 billion.
63	Donald Trump	But it's $33 billion as of today.
64	Donald Trump	And then today and yesterday, I was probably a little bit more firm.
65	Donald Trump	But I believe in NATO.
66	Donald Trump	I think NATO is a very important -- probably the greatest ever done.
67	Donald Trump	But the United States was paying for anywhere from 70 to 90 percent of it, depending on the way you calculate.
68	Donald Trump	That's not fair to the United States.
