1	Donald Trump	Wow, thank you so much.
2	Donald Trump	Hello, West Virginia.
3	Donald Trump	What a place.
4	Donald Trump	You know, we only won West Virginia by 42 points last time.
5	Donald Trump	42 points.
6	Donald Trump	You know what that is?
7	Donald Trump	That's like -- did anyone ever hear of 42 points -- and we're going to better this time, OK?
8	Donald Trump	But I'm thrilled to be back in this great state.
9	Donald Trump	I love this state with thousands of hard working American patriots.
10	Donald Trump	And what job numbers we had today.
11	Donald Trump	Did you hear?
12	Donald Trump	Did you hear?
13	Donald Trump	We're going to that.
14	Donald Trump	They all say speak about the economy.
15	Donald Trump	Speak about the economy.
16	Donald Trump	Well, we have the greatest economy in the history of our country... but sometimes it's not as exciting to talk about the economy, right?
17	Donald Trump	Because we have a lot of other things to talk about.
18	Donald Trump	Also, very important, the economy I unbelievable.
19	Donald Trump	You know it better than anybody because your state under our great Governor Big Jim Justice wherever he may be.
20	Donald Trump	Where is he?
21	Donald Trump	Where's big Jim?
22	Donald Trump	He's around here someplace.
23	Donald Trump	One thing you can't miss him.
24	Donald Trump	There he is.
25	Donald Trump	You can't miss him.
26	Donald Trump	He's got to be 6'11 and he's up there in the weight, but I won't get into it.
27	Donald Trump	He's the greatest.
28	Donald Trump	But I'm going to introduce him in a second.
29	Donald Trump	But we're here to celebrate our amazing achievements together, to make America's incredible comeback continuing and we will.
30	Donald Trump	Right now we're moving full speed ahead like nobody thought was possible.
31	Donald Trump	They did not think it was possible.
32	Donald Trump	They did not think it.
33	Donald Trump	In just four days -- so important.
34	Donald Trump	Because you have a great candidate.
35	Donald Trump	You have a couple of great candidates.
36	Donald Trump	Carol is a great candidate also.
37	Donald Trump	You know that.
38	Donald Trump	Carol Miller.
39	Donald Trump	In just four days the people of West Virginia are going to send Carol Miller to the House and Patrick Morrisey to the Senate so we making America great again.
40	Donald Trump	This election will decide whether we build on the extraordinary prosperity that we've unleashed.
41	Donald Trump	Nobody can believe what's happened.
42	Donald Trump	Or whether we let the radical Democrats take control of Congress and take a giant wrecking ball to our economy and to our future.
43	Donald Trump	America now has the best economy in the history of our country, and we want to keep it that way.
44	Donald Trump	In last month alone we added -- this just came out a few hours ago -- 250,000 jobs.
45	Donald Trump	That's in the month of October, by the way.
46	Donald Trump	That's for one month.
47	Donald Trump	And nearly half a million Americans returned to the workforce.
48	Donald Trump	We've created 4.5 million new jobs since the election, a number that was unthinkable.
49	Donald Trump	If I would have said that during the campaign, oh they would have given me a hard time.
50	Donald Trump	They would have said Pinocchio, you know, they do the whole thing.
51	Donald Trump	Oh boy.
52	Donald Trump	And we've lifted 4.3 million Americans off of food stamps.
53	Donald Trump	The unemployment rate just fell to the lowest level in over 50 years.
54	Donald Trump	More Americans are working today -- think of this -- than ever before.
55	Donald Trump	More American today, right now, this hour, are working than ever before in the history of our country.
56	Donald Trump	How good is that?
57	Donald Trump	How do you lose that debate?
58	Donald Trump	When we're debating a lefty, how do you lose the debate when they're looking at you and say well, we're going to look at jobs.
59	Donald Trump	But more Americans in the history of our country.
60	Donald Trump	I mean that to me is -- here's another one.
61	Donald Trump	African-Americans, Hispanic Americans, Asian Americans unemployment have all reached the lowest levels in the history of our country.
62	Donald Trump	How do you lose that in a debate?
63	Donald Trump	How do you lose that in a debate?
64	Donald Trump	It's always nice.
65	Donald Trump	You know, when you go into a debate it is nice to have the facts on your side.
66	Donald Trump	It's going to be very tough to beat.
67	Donald Trump	Wages are rising and you know it's -- it's been incredible.
68	Donald Trump	And it just got announced they're going at the fastest pace in much more than a decade and wages went up.
69	Donald Trump	First time in a long time.
70	Donald Trump	They haven't gone up.
71	Donald Trump	People were making more money 19 years ago.
72	Donald Trump	I used to talk about it during the campaign.
73	Donald Trump	Where people had single jobs and they were making more money than they had with two and three jobs today.
74	Donald Trump	And now for the first time wages are going up, and they're going up nicely, and people have a choice of lots of different jobs.
75	Donald Trump	And right here in West Virginia jobless claims reached the lowest level in the history of your state.
76	Donald Trump	Is that good?
77	Donald Trump	No wonder I won by 42 points.
78	Donald Trump	No wonder.
