1	TAPPER	An enthusiastic audience at the historic Fox Theatre in downtown Detroit, Michigan.
2	TAPPER	Welcome to our viewers in the United States and around the world watching us on CNN, CNN International, CNN en Espanol, CNN.com, and listening on SiriusXM and the Westwood One Radio Network.
3	TAPPER	This is the CNN Democratic presidential debate.
4	TAPPER	And a special welcome to the U.S. military members, diplomatic corps, and their families serving overseas and watching on the American Forces Network.
5	TAPPER	I'm Jake Tapper, anchor of "The Lead" and "State of the Union," along with CNN's chief political correspondent Dana Bash and Don Lemon, anchor of "CNN Tonight."
6	BASH	The 20 Democratic presidential candidates were divided into two groups by random draw earlier this month.
7	BASH	The first 10 appeared last night.
8	BASH	Now it's time for the second 10.
9	LEMON	Please welcome, from Delaware, former Vice President Joe Biden.
10	SYSTEM	(APPLAUSE)
11	LEMON	From California, Senator Kamala Harris.
12	SYSTEM	(APPLAUSE)
13	HARRIS	Hey, Joe.
14	BIDEN	Go easy on me, kid.
15	HARRIS	How you doing?
16	HARRIS	You good?
17	BIDEN	I'm good.
18	LEMON	From New Jersey, Senator Cory Booker.
19	SYSTEM	(APPLAUSE)
20	LEMON	From New York, businessman Andrew Yang.
21	SYSTEM	(APPLAUSE)
22	LEMON	From Texas, former Secretary of Housing and Urban Development Julian Castro.
23	SYSTEM	(APPLAUSE)
24	LEMON	From Hawaii, Congresswoman Tulsi Gabbard.
25	SYSTEM	(APPLAUSE)
26	LEMON	From New York, Senator Kirsten Gillibrand.
27	SYSTEM	(APPLAUSE)
28	LEMON	From Washington state, Governor Jay Inslee.
29	SYSTEM	(APPLAUSE)
30	LEMON	From Colorado, Senator Michael Bennet.
31	SYSTEM	(APPLAUSE)
32	LEMON	From New York City, Mayor Bill de Blasio.
33	SYSTEM	(APPLAUSE)
34	LEMON	Ladies and gentlemen, the Democratic candidates for president of the United States.
35	SYSTEM	(APPLAUSE)
36	LEMON	Now please rise for the presentation of colors from the James Europe VFW Post 2233 and the District Four Honor Guard.
37	LEMON	And please remain standing for our national anthem, performed by Grammy and Tony Award-winning singer Dee Dee Bridgewater, who was raised in Flint, Michigan.
38	SYSTEM	(sings National Anthem)
39	LEMON	The debate will begin right after this short break.
40	SYSTEM	(APPLAUSE)
41	SYSTEM	(COMMERCIAL BREAK)
42	TAPPER	Welcome back to the CNN Democratic presidential debate.
43	TAPPER	Candidates, we're about to begin opening statements.
44	TAPPER	But first, a quick review of the ground rules that your campaigns agreed to earlier this month to try to ensure a fair debate.
45	TAPPER	As moderators, we will attempt to guide the discussion.
46	TAPPER	You will each receive one minute to answer questions, 30 seconds for responses and rebuttals, and 15 additional seconds if a moderator asks for a clarification.
47	TAPPER	The timing lights will remind you of these limits.
48	TAPPER	Please respect them, and please refrain from interrupting other candidates during their allotted time.
49	TAPPER	A candidate infringing on another candidate's time will have his or her time reduced.
50	TAPPER	We, again, remind our audience inside the Fox Theatre to try to remain silent when candidates are actively debating.
51	TAPPER	The candidates need to be able to properly hear the questions and each other.
