1	STEPHANOPOULOS	The stage is set.
2	STEPHANOPOULOS	The field has been narrowed.
3	STEPHANOPOULOS	For one night only, the top 10 candidates are here.
4	STEPHANOPOULOS	Our Democratic primary debate starts right now.
5	SYSTEM	(BEGIN VIDEO CLIP)
6	ANNOUNCER	This is an ABC News special.
7	BIDEN	I will be a president for every American.
8	WARREN	This is our moment.
9	SANDERS	We are in a struggle for the future of this country.
10	HARRIS	We fight for our country.
11	HARRIS	That's the nature of who we are.
12	SANDERS	Right now we can act.
13	YANG	We're in the midst of the greatest economic transformation.
14	BOOKER	We have overcome worse times and darker moments than this.
15	O'ROURKE	We will make the most of this moment that we have here together.
16	KLOBUCHAR	We are on a march together.
17	CASTRO	We're going to win by being bold.
18	CASTRO	We're going to win by being fearless.
19	ANNOUNCER	Live from Texas Southern University in Houston, Texas, here now, chief anchor George Stephanopoulos.
20	STEPHANOPOULOS	Good evening, and welcome to Houston.
21	STEPHANOPOULOS	We are live from Texas Southern University for tonight's Democratic debate.
22	STEPHANOPOULOS	The top 10 candidates are here.
23	STEPHANOPOULOS	It's going to start right now.
24	STEPHANOPOULOS	And on the stage, you see them.
25	STEPHANOPOULOS	They have all met the criteria set by the Democratic National Committee.
26	STEPHANOPOULOS	At least 10 others have not met the threshold.
27	STEPHANOPOULOS	So, for the first time in this primary, a single debate in a single night with all the top candidates facing off.
28	STEPHANOPOULOS	It is a critical test for the candidates and their campaigns at a critical time for our country.
29	STEPHANOPOULOS	They're going to lay out their vision for the country, their records, their differences with President Trump and each other.
30	STEPHANOPOULOS	And we're going to do our best to bring you a lively, informative, and civil debate.
31	STEPHANOPOULOS	I'm joined here tonight by my ABC colleague, "World News Tonight" anchor David Muir, our national correspondent, Linsey Davis, and Jorge Ramos from our partner network, Univision.
32	STEPHANOPOULOS	Jorge?
33	RAMOS	George, thank you very much.
34	RAMOS	We appreciate the opportunity to welcome Latinos across the country and to ask about Latinx issues during these challenging times.
35	SYSTEM	(SPEAKING SPANISH)
36	RAMOS	Let me just give you a little translation here.
37	RAMOS	I'm telling Latinos that, despite the fact that we are facing difficult times, this is our country, too.
38	RAMOS	Linsey?
39	SYSTEM	(APPLAUSE)
40	DAVIS	We are delighted to be on the beautiful campus of Texas Southern University, one of the largest historically black colleges and universities in the country.
41	DAVIS	And here in the Health and Physical Education Building tonight, we are joined by a live audience of 3,500 people, most invited by the Democratic National Committee, and, of course, some of the brightest minds of the student body here at TSU.
42	DAVIS	Go Tigers.
43	SYSTEM	(APPLAUSE)
44	MUIR	We can feel the energy in the room, can't we, Linsey?
45	MUIR	The rules of this debate are very basic tonight and have been agreed to by all the campaigns in advance.
46	MUIR	Candidates will have one minute, 15 seconds to answer a direct question and 45 seconds for a rebuttal or response as directed by one of the moderators.
47	MUIR	Candidates will each see green and yellow lights -- there you see them right there -- indicating how much time they have remaining.
48	MUIR	And when time is up, the light will turn red.
49	MUIR	Candidates who interrupt will be subject to having their time reduced later on.
50	MUIR	But this is democracy, the great American experiment, and the candidates are here tonight to make their case.
51	STEPHANOPOULOS	The podium placement was based on their current standings in nationally recognized polls with the leading candidates in the center.
52	STEPHANOPOULOS	All candidates have been told they can have one minute to make an opening statement.
53	STEPHANOPOULOS	And we're going to begin in reverse polling order with Secretary Julian Castro.
54	SYSTEM	(APPLAUSE)
55	CASTRO	Good evening, y bienvenidos a Texas.
56	CASTRO	Welcome to Texas.
57	SYSTEM	(APPLAUSE)
58	CASTRO	It's great to be here at TSU, home of the Tigers.
59	CASTRO	You know, on January 20, 2021, at 12:01 p.m., we're going to have a Democratic president, a Democratic House, and a Democratic Senate.
60	SYSTEM	(APPLAUSE)
61	CASTRO	There will be life after Donald Trump.
62	CASTRO	But the truth is that our problems didn't start just with Donald Trump, and we won't solve them by embracing old ideas.
63	CASTRO	We need a bold vision: universal pre-K and universal health care, unleashing millions of new jobs in the clean energy economy, a tax system that rewards people who have to work for a living.
64	CASTRO	But first, we have to win.
65	CASTRO	And that means exciting a young, diverse coalition of Americans who are ready for a bold future.
66	CASTRO	That's what Kennedy did, it's what Carter did, it's what Clinton did, it's what Barack Obama did, and it's what I can do in this race.
67	CASTRO	Get back Michigan, Wisconsin, and Pennsylvania, Florida, Georgia, and Arizona, and finally turn Texas blue and say goodbye to Donald Trump.
68	SYSTEM	(APPLAUSE)
69	STEPHANOPOULOS	Senator Klobuchar?
70	KLOBUCHAR	Good evening, Texas Southern.
71	KLOBUCHAR	I believe that what unites us up here, the 10 of us, is much stronger than what divides us.
72	KLOBUCHAR	And I think that's true of our country, too.
73	KLOBUCHAR	Now, I may not be the loudest person up here, but I think we've already got that in the White House.
74	SYSTEM	(APPLAUSE)
75	KLOBUCHAR	Houston, we have a problem.
76	KLOBUCHAR	This -- we have a guy there that is literally running our country like a game show.
77	KLOBUCHAR	He would rather lie than lead.
78	KLOBUCHAR	I think we need something different.
79	KLOBUCHAR	I am someone that tells the truth.
80	KLOBUCHAR	I don't make promises that I can't keep.
81	KLOBUCHAR	I have people's back.
82	KLOBUCHAR	And I believe that to win, you bring people with you and that is how you govern, as well.
83	KLOBUCHAR	So, you're going to hear a lot of ideas up here.
84	KLOBUCHAR	Some will be great.
85	KLOBUCHAR	But if you see that some of them seem a little off-track, I've got a better way.
86	KLOBUCHAR	If you feel stuck in the middle of the extremes in our politics and you are tired of the noise and the nonsense, you've got a home with me, because I don't want to be the president for half of America.
87	KLOBUCHAR	I want to be the president for all of America.
88	SYSTEM	(APPLAUSE)
89	STEPHANOPOULOS	Congressman Beto O'Rourke?
90	O'ROURKE	It's an honor to be on this debate stage.
91	O'ROURKE	It is wonderful to be back in Texas, in Houston, back here at TSU.
92	O'ROURKE	On August 3rd, in El Paso, Texas, two things became crystal clear for me, and I think produced a turning point for this country.
93	O'ROURKE	The first is just how dangerous Donald Trump is, the cost and the consequence of his presidency.
94	O'ROURKE	A racism and violence that had long been a part of America was welcomed out into the open and directed to my hometown of El Paso, Texas, where 22 people were killed, dozens more grievously injured by a man carrying a weapon he should never have been able to buy in the first place, inspired to kill by our president.
95	O'ROURKE	The second is how insufficient our politics is to meet the threat that we have right now.
96	O'ROURKE	The bitterness, the pettiness, the smallness of the moment, the incentives to attack one another and try to make differences without distinctions, mountains out of mole hills, we have to be bigger.
97	O'ROURKE	We have to see clearly, we have to speak honestly, and we have to act decisively.
98	O'ROURKE	That's what I want to do for you as president of the United States.
99	O'ROURKE	Thank you.
100	SYSTEM	(APPLAUSE)
101	STEPHANOPOULOS	Senator Cory Booker?
