text	label
And welcome back.	0
There is history all around us here at downtown Milwaukee’s Riverside Theater, which opened in 1928.	0
It was nearly destroyed by fire in 1966.	0
It was lovingly restored in the 80s and has been at the heart of this city’s cultural life ever since.	0
It is a magnificent theater.	0
We’re here in the mid of a history-making Republican presidential campaign, bringing voters face to face with the candidates, showcasing their questions and bringing it all to you at home.	0
Joining us now is Ohio’s governor, John Kasich.	0
(APPLAUSE)	0
How are you?	0
Good to see you.	0
Have a seat.	0
All right, we got a lot of questions from the audience about a lot of policy issues.	0
A couple of questions on news of the day.	0
Donald Trump’s campaign manager, Corey Lewandowski, charged today with simple battery.	0
Would you fire him?	0
Well, I haven’t seen the video, but they tell me the video is real.	0
Of course I would.	0
Look, when you have problems like that, you have to act.	0
Now, I’ve been of course an executive running the seventh-largest state.	0
And we see things that happen.	0
At times, you want to give people the benefit of the doubt, but when you see things that are pretty clear – from what I understand the video is clear.	0
Of course would fire him.	0
Let’s talk about your path to the nomination.	0
You are pinning your hopes on a contested convention.	0
Assuming there is one, why would you be selected?	0
You’ve only won one state, your home state, Ohio.	0
Why would you get the nomination?	0
Well, a couple of reasons, Anderson.	0
First of all, in virtually every national poll, I am the only one that beats Hillary Clinton consistently.	1
In fact, in the last poll that came out I was up 11 points.	0
Secondly, and, you know, delegates would look, for example, at, you know, can you win in the fall?	0
I mean, it’s like a really important part of this thing, it’s not just the nomination, it’s about winning the election.	0
And frankly, if we do not have a strong candidate that brings people together, we have a prospect of losing the United States Senate as well.	0
And secondly, Anderson, at some point that people that go to a convention are going to be concerned about who actually could run the country.	0
I mean, it’s like a big deal.	0
You know, who could be president, who could be commander-in-chief?	0
And I have more experience than really all of them put together except for Mrs. Clinton.	0
I mean, I have — you know, I served 18 years on the defense — Armed Services Committee, I was in the Pentagon after 9/11.	0
I was chairman of the Budget Committee.	0
I was involved in welfare reform.	0
When I was chairman of the Budget Committee, we balanced the budget, we had job growth.	0
I’ve been the executive in Ohio.	0
We’ve grown jobs.	0
So at some point people are going to look at two things, who can win in the fall, and secondly who could be the best president?	0
But polls are one thing, though, I mean, to have only won — if it continues on this path, to have only won one state, your home state, won’t some delegates say, look, OK, the polls say he can win in a head-to-head matchup against Hillary Clinton, but the voters have spoken.	0
Well, Anderson, I think it’s pretty clear and most of the people in here I think would agree with this, for most of the debates, I was completely ignored.	0
I mean, it has been like the last three weeks to a month that people have started to pay attention to who I am and my message.	0
And it has fundamentally happened that way because I’ve not gotten down in the mud.	0
I haven’t name-called.	0
I haven’t had all these nasty sound bites.	0
I’ve just been laying out my record and my vision for what I want to see happen.	0
But conventions are very interesting.	0
Republicans have had 10 conventions.	0
And the leader going into the convention has only been the nominee three times out of 10.	0
Seven times out of 10 they were not.	0
So I think — and we’re going to do better as this calendar moves to the east.	0
Look, now I’m starting to get on my home court, you know, — look, I went to Ohio, I won by 11 points.	0
You know, I did very, well there.	0
We’re going to go to Pennsylvania, New York, New Jersey, Connecticut.	0
These are all places where I can do extremely well.	0
And we will continue to accumulate delegates.	0
And we’ll have momentum going into the convention.	0
And by the way, the convention is nothing more than an extension of the process we have going now.	0
Somehow people think they’re truncated somehow, they’re disjointed.	0
They’re not.	0
It’s a process of primaries.	0
You accumulate delegates.	0
You go to the convention.	0
And then they pick the nominees.	0
I want to ask you about terrorism.	0
When you were asked about what happened in Brussels last week — or let’s talk about that.	0
In terms of what U.S. response should and what the fight against ISIS should look like, you said yesterday that one of the opponents wants to make the sand glow and the other one complains about other countries not doing enough, obviously you were talking about Senator Cruz and Mr. Trump.	0
Why would America be safer under your watch?	0
Well, Anderson, first of all, I’ve been saying for a long time and laid out an extensive program on rebuilding the military.	0
Secondly, I’ve been the one arguing all along that we need to go after ISIS in a coalition like we had in the first Gulf War.	0
I was there when I saw it happen.	0
I saw our Muslim Arab friends join us in the West, and we pushed Saddam out of Kuwait.	0
You know, secondly, that same coalition needs come together and we need to destroy ISIS both in the air and on the ground, settle it down and then come home.	0
And let the regional powers draw the map.	0
There are a lot of countries, Saudi Arabia, that don’t necessarily see ISIS as their predominant threat.	0
Oh, no, no, no.	0
Saudi Arabia, Egypt, Jordan, the Gulf states, they all know it’s an existential threat.	0
They know that they — that the kingdom hangs by a thread because of the radicalism of ISIS.	0
And so the fact is they will join us.	0
They joined us before against Saddam Hussein.	0
That was not as big of a deal as this is where they’re blowing people up all over the world.	0
Secondly, of course, I think, Anderson, that we need really good worldwide intelligence.	0
I think that the lemons we’re seeing can be turned into lemonade and I think a president of the United States can rally the civilized world to destroy these folks who are intent on destroying us.	0
And secondly, we talked about NATO.	0
That was another thing I talked about.	0
We need to change NATO from not just a military organization, but an intelligence-gathering and also a policing organization that works across boundaries.	0
All of us together, fighting together, working together, destroy ISIS, have the good human intelligence…	0
Donald Trump says NATO is obsolete.	0
Is it?	0
Well, of course it’s not.	0
That’s absurd, obsolete, OK?	0
(APPLAUSE)	0
Now, look, it’s really important that we get these countries to pitch in and do more.	0
They’ll never do as much as we want.	0
I mean, I lived through a whole time when we would push them, pressure them.	0
Part of the problem is it’s their governments over there.	0
You know, there is too much socialism, there is too much political correctness.	0
That’s why they didn’t even catch this thing in Brussels.	0
And you know that the screw-ups that we saw with the intelligence.	0
But here’s the thing: no, NATO has an additional role now.	0
And that is policing and intelligence gathering.	0
You see, we need to have the Muslims working with us and the West —	0
That’s critical?	0
Absolutely critical.	0
Let me tell you, Anderson, if we wanted to get information out of some radical that’s in a mosque — you’re a really great guy, but if you were three blocks from the mosque, do you think you’d get anything?	0
I don’t blend very well.	0
(LAUGHTER)	0
No, you are don’t.	0
Well, the fact is is that we want the Muslims who are — they feel as strongly as we do about these murderers out there.	0
These Muslims, they’re the ones that have to police their own neighborhoods.	0
And, frankly, we need the imams to come out and issue statements about how their religion has been hijacked.	0
But it takes all of us together.	0
It takes us to have great human intelligence.	0
And here in the United States we’ve got counterterrorism task forces made up of the FBI, it’s made up of Homeland Security, state and local law enforcement, and their job is to disrupt.	0
That’s why the issue of Apple was so important because they need the resources to be able to carry out their job for all of us, but they need one other thing: they need the tools.	0
And if they can’t hear, then it becomes a problem.	0
But there’s also a role for us.	0
Because when we see something happening in our neighborhood, Anderson, we have an obligation to alert authorities as well.	0
You talked about Donald Trump belittle — in an interview today, you said about Donald Trump’s foreign, “I think that’s the most ridiculous of foreign policy I ever heard.	0
This is just somebody that just doesn’t understand foreign policy.	0
Just doesn’t” —	0
Well which part was I talking about?	0
I don’t remember.	0
I’m not sure either.	0
OK. Well, I mean, I think the idea that – I’ll tell you one.	0
Do you think he –	0
We’re going to have a religious test on who comes in the country.	0
So, when you come in the country, I say, well, are you a Muslim?	0
Raise your hand if you’re a Muslim.	0
I mean, come on, Anderson.	0
That’s not going to work.	0
We’re not going to police Muslim neighborhoods.	0
We can’t afford polarization of people who are in the civilized world.	0
You know, there are people all over the world that know that this threat has to be stopped.	0
It has to be destroyed, and we have to work together as a world.	0
Because when people in Pakistan die, we all die a little bit when they blow up innocent men, women and children at an Easter service.	0
I mean, the world understands this.	0
And this is an opportunity for us to be brought together.	0
The president, by the way, went to a baseball game in Cuba instead of coming home, meeting.	0
I’ll tell you what I would do if I were president.	0
I would come home, I would call world leaders.	0
I would gather my military and intelligence experts.	0
I would find out our vulnerabilities, and I would send them to Europe.	0
And I would say, let us look at what our problems are, and let’s fix them immediately.	0
The response of the White House is often to that criticism –	0
(APPLAUSE)	0
The response of the White House to that criticism, and I want you to be able to respond to it, is often, well, look.	0
By changing the president’s schedule, it gives power to the terrorist group that they’re able to change the leader of the free world’ s schedule and that he can do the work he needs to do on wherever location he’s at.	0
So you kind of go to a baseball game, and you don’t come home?	0
Well, that’s another issue.	0
And – no, here’s the situation.	0
That attack was in the heart of Europe.	0
I mean, that was an attack on the very heart of our friends who live in Europe.	0
Yes, I think it’s important enough to come home.	0
Secondly  —	0
(APPLAUSE)	0
— I’ll give you another one that I can’t believe.	0
The president of the United States — the first thing he did is he wouldn’t meet with our friend Netanyahu.	0
OK, that was the first meeting he snubbed.	0
Now, he’s snubbed another one.	0
He’s snubbed a meeting with the president of Turkey.	0
Do you know how important it is for to us have good relations with Turkey?	0
They’re the gateway to the East.	0
Now, Erdogan is doing some things that none of us like.	0
But you know what?	0
We have to deal with him.	0
