id,text,first_name,last_name,title,time
38681,"Good evening, everyone.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38682,"I'm Lester Holt, and welcome to the first Democratic debate to the 2020 race for president.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38683,"Hi, I'm Savannah Guthrie.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38684,"And tonight, it's our first chance to see these candidates go head to head on stage together.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38685,"We'll be joined in our questioning time by our colleagues, Jose Diaz-Balart, Chuck Todd, and Rachel Maddow.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38686,"Voters are trying to nail down where the candidates stand on the issues, what sets them apart, and which of these presidential hopefuls has what it takes.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38687,"Well, now it's time to find out.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38688,"Tonight, round one.",Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38689,New Jersey Senator Cory Booker.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38690,Former Housing Secretary Julian Castro.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38691,New York City Mayor Bill De Blasio.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38692,Former Maryland Congressman John Delaney.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38693,Hawaii Congresswoman Tulsi Gabbard.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38694,Washington Governor Jay Inslee.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38695,Minnesota Senator Amy Klobuchar.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38696,Former Texas Congressman Beto O'Rourke.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38697,Ohio Congressman Tim Ryan.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38698,And Massachusetts Senator Elizabeth Warren.,Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38699,"From NBC News, Decision 2020, the Democratic candidates debate, live from the Adrienne Arsht Performing Arts Center in Miami, Florida.",Unidentified,Voice,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38700,"And good evening again, everyone.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38701,Welcome to the candidates and to our audience here in Miami here in the Arts Center and all across the country.,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38702,"Tonight we're going to take on many of the most pressing issues of the moment, including immigration, the situation unfolding at our border, and the treatment of migrant children.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38703,"And we're going to talk about the tensions with Iran, climate change, and of course, we'll talk about the economy, those kitchen table issues so many Americans face every day.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38704,And some quick rules of the road.,Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38705,"Before we begin, 20 candidates qualified for this first debate.",Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38706,We'll hear from 10 tonight and 10 more tomorrow.,Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38707,The breakdown for each was selected at random.,Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38708,The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.,Jose,Diaz-Balart,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38709,"Because of this large field, not every person will be able to comment on every topic, but over the course of the next two hours, we will hear from everyone.",Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38710,We'd also like to ask the audience to keep the reactions to a minimum.,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38711,We are not going to be shy about making sure the candidates stick to time tonight.,Lester,Holt,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38712,All right.,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38713,"So with that business out of the way, we want to get to it.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38714,And we'll start this evening with Senator Elizabeth Warren.,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38715,"Senator, good evening to you.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38716,Thank you.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38717,Good to be here.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38718,"You have many plans  free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38719,"But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38720,What do you say to those who worry this kind of significant change could be risky to the economy?,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38721,So I think of it this way.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38722,Who is this economy really working for?,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38723,It's doing great for a thinner and thinner slice at the top.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38724,It's doing great for giant drug companies.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38725,It's just not doing great for people who are trying to get a prescription filled.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38726,"It's doing great for people who want to invest in private prisons, just not for the African-Americans and Latinos whose families are torn apart, whose lives are destroyed, and whose communities are ruined.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38727,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38728,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38729,We need to call it out.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38730,We need to attack it head on.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38731,"And we need to make structural change in our government, in our economy, and in our country.",Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38732,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, a magic genie.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38733,"To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38734,"Well, first, the economy.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38735,We know that not everyone is sharing in this prosperity.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38736,"And Donald Trump just sits in the White House and gloats about what's going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38737,So I do get concerned about paying for college for rich kids.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38738,I do.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38739,But I think my plan is a good one.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38740,"And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38741,My own dad and my sister got their first degrees with community college.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38742,"There's many paths to success, as well as certifications.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38743,"Secondly, I'd used Pell grants.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38744,"I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38745,And then the third thing I would do is make it easier for students to pay off their student loans.,Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38746,"Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.",Amy,Klobuchar,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38747,"That's time, thank you.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38748,"Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38749,"In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38750,Would you support that?,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38751,"And if not, what would your top individual rate be?",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38752,This economy has got to work for everyone.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38753,"And right now, we know that it isn't.",Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38754,And it's going to take all of us coming together to make sure that it does.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38755,"Right now, we have a system that favors those who can pay for access and outcomes.",Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38756,That's how you explain an economy that is rigged to corporations and to the very wealthiest.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
