sentence_id,screening,label,text
27247,-3,1,We're 9 million jobs short of that.
10766,-3,1,"You know, last year up to this time, we've lost 700,000 jobs in America."
3327,-3,1,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott."
19700,-3,1,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out."
12600,-3,1,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?"
26071,-3,1,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.
32496,-3,1,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world."
24266,-3,1,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less."
15712,-3,1,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.
9453,-3,1,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains."
8466,-3,1,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.
14448,-3,1,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives."
1789,-3,1,And he is saying that he is going to pay for it by closing loopholes and deductions.
32725,-3,1,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks."
27509,-3,1,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America."
2336,-3,1,That's one of the unintended consequences of Dodd-Frank.
12993,-3,1,We find four times as many projects undertaken and completed in this Administration than in the previous one.
17464,-3,1,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.
11247,-3,1,That's what we've been doing over the last eight years and that has actually made us more safe.
2874,-3,1,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget."
26076,-3,1,We reduced the welfare rolls by 2 million already.
21706,-3,1,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.
25315,-3,1,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate."
32480,-3,1,But we're bringing the tax rate down from 35 percent to 15 percent.
8236,-3,1,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending."
12198,-3,1,That we spent -- the top 1% receive 223 as opposed to 445 billion in new spending.
2326,-3,1,"Now, Governor Romney has said he wants to repeal Dodd-Frank."
28160,-3,1,"We've spent 65 years now on the development of a hybrid system, partly private, partly public, and 85% of our people have health insurance, 15% don't."
20122,-3,1,There are actually more people in government except for people in defense related jobs.
28296,-3,1,"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever."
7721,-3,1,"When he selected his vice presidential running mate, he selected a man who had voted against most of these proposals and who opposes them at the present time."
1389,-3,1,But now I think there have been a couple of instances where the Burger Court has made technical rulings where an obviously guilty person was later found to be guilty.
23306,-3,1,"As I told you, we've just got a report that said over the past 13 months, we've created 1.9 million new jobs."
16783,-3,1,"As a result, we have saved over $9 billion in federal expenditures."
19702,-3,1,"We're even shipping 3,000 Kurds to Guam."
17550,-3,1,"In my opinion, as we deal with this deficit, people from about $70,000 a year on down have to be dealt with very, very carefully, because they are the ones who didn't get any relief the first time around."
2316,-3,1,"You had loan officers were -- that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify."
32009,-3,1,And Donald insulted and attacked them for weeks over their religion.
8726,-3,1,"We have a coal supply that is equal to 50% of the world's coal supply, good for centuries, in this country."
21457,-3,1,"In terms of programs, I've submitted, what, 4 different budgets to the US Congress in great detail."
27831,-3,1,"I said that we would provide guarantees, and -- and that was what was able to allow these companies to go through bankruptcy, to come out of bankruptcy."
33427,-3,1,"... to sign immigration reform, and George W. Bush supported it, as well."
30262,-3,1,We're a country that owes $20 trillion.
909,-3,1,But I also believe we need an agricultural policy which doesn't cost us 15 to 20 to 25 billion dollars a year that it's been costing us over the course of the past three or four years under this administration.
7036,-3,1,"If you're married, you got tax relief."
27627,-3,1,So our troops will come home at that point.
34131,-3,1,"He violated the red line in the sand, and he made so many mistakes, made all the mistakes."
8197,-3,1,We have developed more hydroelectric power in these seven and a half years than was developed in any previous administration in history.
18687,-3,1,"No president, through all of American history, has ever ceded, and nor would I, the right to preempt in any way necessary to protect the United States of America."
16608,-3,1,Our country now has no comprehensive energy program or policy.
14867,-3,1,"I would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace."
8757,-3,1,"Because in industry today, we're producing more, over the last several years, and at 12% less use of energy than we were back in about 1973."
2380,-3,1,And three-quarters of them said it makes us less likely to hire people.
8755,-3,1,"That is the same Government that, in 1920, told us we only had enough oil left for 13 years, and 19 years later, told us we only had enough left for another 15 years."
13427,-3,1,"And the Vice President cast the deciding vote against federal aid for teachers' salaries in the Senate, which prevented that being added."
21717,-3,1,I am not for national registration of firearms.
8950,-3,1,"But at the same time, we gave back to the people of California - in tax rebates, tax credits, tax cuts - $5.7 billion."
27747,-3,1,"They don't want to see the world break out into -- into various forms of chaos, because they have to -- they have to manufacture goods and put people to work and they have about 20,000 -- 20 million, rather, people coming out of the farms every year coming into the cities, needing jobs."
16516,-3,1,"If we assume the ah - uh - a rate of growth of our economy, equivalent to what it was during President Johnson, President Kennedy, even before the - the - the - uh wa uh - Vietnese- namese War, and if we assume that at the end of the four-year period we can cut our unemployment rate down to 4 to 4 and a half percent - under those circumstances, even assuming no elimination of unnecessary programs and assuming an increase in the ad- in the allotment of money to finance programs, increasing as the inflation rate does - my economic projections, I think confirmed by the House uh - and the Senate committees, have been with the $60 billion extra amount of money that can be spent in fiscal year '81 which will be the last year of this next term."
2820,-3,1,"A few months later, he said he wanted to cut the defense budget by eight or nine billion dollars."
34250,-3,1,"He now also aligned with Iran, who we made very powerful."
6977,-3,1,"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children."
10863,-3,1,"Nuclear power is safe, and it's clean, and it creates hundreds of thousands of jobs."
14912,-3,1,"At the same time, as I have said earlier, we have added about nine million net new jobs in that period of time - a record never before achieved."
24841,-3,1,The Soviet Union is no more and we're working with a democratic country.
28054,-3,1,"As a matter of fact, I brought Republicans and Democrats together to do just that in the State of Texas to get a patient's bill of rights through."
16829,-3,1,"This permits a company to create uh - a dummy corporation, to export their products, and then not to pay the full amount of taxes on them."
8928,-3,1,"And one is going to give you $122 more if you happen to be in that range of about a $20,000-a-year income."
8124,-3,1,I'm not satisfied to have fifty percent of our steel-mill capacity unused.
10609,-3,1,And Senator McCain voted for four out of five of those George Bush budgets.
15294,-3,1,"Now, it is trillions of dollars out of balance, and the only answer that has come so far is the biggest single tax increase in our nation's history - the payroll tax increase for Social Security - which will only put a band-aid on this and postpone the day of reckoning by a few years at most."
19104,-3,1,"We passed 100,000 police, the assault weapons ban, the Brady Bill."
27084,-3,1,They're willing to work with us.
20753,-3,1,Imagine how many IRS agents it is going to take to be able to figure out his targeted tax cut for the middle class that excludes 50 million Americans.
25897,-3,1,We have never been asked to send troops to the West Bank.
14952,-3,1,We've had the Central Accounting.
6216,-3,1,"Senator Obama, as a member of the Illinois State Senate, voted in the Judiciary Committee against a law that would provide immediate medical attention to a child born of a failed abortion."
3116,-3,1,"Just recently, President Rabin said that our relations were never better."
20898,-3,1,We have a strong charter school movement that I signed the legislation to get started in the State of Texas.
20338,-3,1,I donÃ¢â‚¬â„¢t think he will because under his plan if you work out the numbers Ã‚ $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut.
8962,-3,1,"But I do know that, despite his pledge to reduce state Government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office."
25136,-3,1,"In a recent 30-day period, 37 terrorist acts in 20 countries have been committed."
12414,-3,1,"That's going to be up to the people, isn't it?"
27076,-3,1,"And finally, we don't want to have military involvement there."
14929,-3,1,"But that can't hide the fact that there are eight million men and women out of work in America today, and two million of those lost their jobs in just the last few months."
17644,-3,1,"Yes, there has been an increase in poverty, but it is a lower rate of increase than it was in the preceding years before we got here."
7676,-3,1,"About two percent of our population of white people are - is illiterate, ten per cent of our colored population."
28462,-3,1,Right now our military is the strongest in the entire history of the world.
3715,-3,1,I saved the taxpayers $6.8 billion by fighting a contract that was negotiated between Boeing and DOD that was completely wrong.
17129,-3,1,This is the worst trade year in American history by far.
1851,-3,1,"But under Governor Romney's definition, there are a whole bunch of millionaires and billionaires who are small businesses."
6926,-3,1,"The Lewin report accurately noted that there are going to be 20 million people, over 20 million people added to government-controlled health care."
32170,-3,1,"Right now, we are at 90 percent health insurance coverage."
8326,-3,1,The farmer produced these surpluses because the government asked him to through legislation during the war.
1086,-3,1,"But to add one other feature, I don't control any of the tapes."
15178,-3,1,"Now, to suggest that because two Republican presidents tried to pass the SALT treaty - that puts them on its side - I would like to say that President Ford, who was within 90% of a treaty that we could be in agreement with when he left office, is emphatically against this SALT treaty."
30216,-3,1,"I voted for every sanction against Iran when I was in the Senate, but it wasn't enough."
16609,-3,1,"We have twenty different agencies in the federal government responsible for the production, the regulation, the uh - information about energy, the conservation of energy, spread all over government."
8202,-3,1,We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years.
14898,-3,1,"which his own running mate, George Bush, described as voodoo economics, and said that it would result in a 30% inflation rate."
14087,-3,1,Look what's happening to McDonnell Douglas; even Boeing is losing market share -- because we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response.
11645,-3,1,"We did, actually, send troops into Rwanda to help with the humanitarian relief measures."
12659,-3,1,We've had the lowest rate of increase of economic growth in the last nine months of any major industrialized society in the world.
1440,-3,1,"Since the depths of the recession, we have added four million jobs."
24320,-3,1,Our dollar's at an all time low against some foreign currencies.
22305,-3,1,"Not to the schools but to -- you know, 46% of the teachers in Chicago, public school teachers, send their kids to private school."
27385,-3,1,"Our Navy is old -- excuse me, our Navy is smaller now than at any time since 1917."
19466,-3,1,The administration says they support the instant check.
1020,-3,1,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars."
23226,-3,1,He's the first president in 72 years to lose jobs.
1265,-3,1,"I fought for, and the Congress finally went along with a general revenue sharing program, whereby cities and uh - states, uh - the cities two-thirds and the states one-third, get over six billion dollars a year in cash through which they can uh - provide many, many services, whatever they really want."
22642,-3,1,He can't come here and tell you that he's left no child behind because he didn't fund no child left behind.
8127,-3,1,"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual."
2388,-3,1,"It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country."
16057,-3,1,"I've appointed over 130, so I have a record."
26455,-3,1,"In February he said we had the best economy in Ã‚ 30 years, just February."
11106,-3,1,They are plotting to kill Americans right now.
21041,-3,1,"It is 300,000 people smaller today than it was eight years ago."
2979,-3,1,"The Arabs have put pressure on Mr. Ford, and he's yielded, and has permitted a boycott by the Arab countries of American businesses who trade with Israel, or who have American Jews owning or taking part in the management of American - companies."
19641,-3,1,"And everybody knows, including the Wall Street Journal, hardly a friend of the Democratic party of this administration, that the '82 tax increase he sponsored in inflation-adjusted dollars was the biggest tax increase in American history."
28583,-3,1,"Federal government has gone down, Texas's government has gone up."
21496,-3,1,Mr. Bush said once again I was going to have $150 billion tax increase.
15518,-3,1,"He founded authored, the job training partnership act."
20085,-3,1,"Well, I'd say the first homeless bill in the Senate was the Dole-Byrd Byrd-Dole bill, I can't remember who was in control then."
169,-3,1,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year."
16476,-3,1,"In my tax reduction program for middle-income taxpayers, I recommended that the Congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person."
33996,-3,1,"And all of her donors -- just about all of them -- I know Buffett took hundreds of millions of dollars, Soros, George Soros, took hundreds of millions of dollars..."
18137,-3,1,"Humvees -- 10,000 out of 12,000 Humvees that are over there aren't armored."
16000,-3,1,It wasn't created as a welfare program.
27176,-3,1,This -- we have weakened our economy.
10223,-3,1,A half a million manufacturing jobs have been lost in the last four years.
5653,-3,1,We have presided over the largest increase in government since the Great Society.
8549,-3,1,Roughly a hundred billion to a hundred and a quarter billion of that is the result of government activity.
15242,-3,1,"Our Government has, in the last year or so, taken out of multiple use millions of acres of public lands that once were - well, they were public lands subject to multiple use - exploration for minerals and so forth."
3673,-3,1,"With all due respect, you already gave them to the oil companies."
30363,-3,1,I said she doesn't have the stamina.
17583,-3,1,"From 50,000 down, those people paid two-thirds of the taxes, and those people got two-thirds of the tax cut."
34155,-3,1,"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq."
34165,-3,1,And you will see the dozens of sources which verify that he was for the invasion of Iraq.
20109,-3,1,"I think they're better off, all of us are, that we got the interest rates down and the deficit down."
19659,-3,1,But it will cover preexisting conditions.
8975,-3,1,"The truth of the matter is, we did cut the increase in spending in half."
11566,-3,1,When I was in the senate before I became vice president I was pushing for stronger action against Milosevic.
22036,-3,1,"See, we've got a $4 trillion debt and only in America would you have $2.8 trillion of it or 70% of it financed 5 years or less."
25852,-3,1,"Did get a 3 percent increase this year, but that's not enough."
8965,-3,1,"But on his very optimistic figures about his tax cut producing a balanced budget by 1983, and the fact that he is using, he says, the figures of the Senate Budget Committee, that Senate Budget Committee Report does not accommodate all of the Reagan defense plans."
28317,-3,1,The federal government puts about 6% of the money up.
11070,-3,1,Right now there's a peacekeeping force that has been set up and we have African Union troops in Darfur to stop a genocide that has killed hundreds of thousands of people.
22100,-3,1,"Since I became president, 43, 44 countries have gone democratic, no longer totalitarian, no longer living under dictatorship or communist rule."
13522,-3,1,A - More countries voted against us in Asia on this issue than voted with us.
9548,-3,1,"And -- and what's at stake here is one of two things, either Candy -- this blows up the deficit because keep in mind, this is just to pay for the additional spending that he's talking about, $7 trillion - $8 trillion before we even get to the deficit we already have."
11850,-3,1,A jury found them guilty.
2496,-3,1,It wasn't a government takeover of health care.
16630,-3,1,"When you come to Washington to try to - as a governor - to try to begin a new program for your people, like uh the treatment of drug addicts, I found there were thirteen different federal agencies that I had to go to, to manage the uh drug treatment program."
10804,-3,1,"He wants to give average Fortune 500 CEO an additional $700,000 in tax cuts."
33915,-3,1,"... we have made environments in schools healthier for kids, including healthier lunches..."
4209,-3,1,He doesn't understand that Russia committed serious aggression against Georgia.
9569,-3,1,"If the president were reelected, we'd go to almost $20 trillion of national debt."
10801,-3,1,"And we provide a 50 percent tax credit so that they can buy health insurance for their workers, because there are an awful lot of small businesses that I meet across America that want to do right by their workers but they just can't afford it."
14710,-3,1,It's been tried for 12 years and it's failed.
15521,-3,1,"He, unlike my opponent, is an expert in national defense; helped amend the INF treaty so we got a good, sound treaty, when these people over here were talking about a freeze."
33254,-3,1,Donald has said he's in favor of defunding Planned Parenthood.
2427,-3,1,"Right now, the CBO says up to 20 million people will lose their insurance as Obamacare goes into effect next year."
24241,-3,1,"Someone who will not veto a bill that has an investment tax credit, middle class tax relief, research and development tax credits as Mr. Bush has done."
2018,-3,1,"Well, the economy is still growing slow."
19658,-3,1,"And even when it finally got near passage, Senator Kennedy held it up for 100 days, because he wasn't satisfied with one provision."
8806,-3,1,That meant immediately 46% of your people that were signing up had no reason for signing up.
2810,-3,1,Even the Republican platform has criticized the lack of leadership in Mr. Ford and they've criticized the foreign policy of this administration.
17730,-3,1,It's given us the highest small business failure in 50 years.
13613,-3,1,The rich are paying a bigger percent of the total tax burden.
29236,-3,1,"In fact, Donald was one of the people who rooted for the housing crisis."
5778,-3,1,"And when you looked into the camera in a debate with Senator Clinton and said, ""I will sit down and negotiate with John McCain about public financing before I make a decision,"" you didn't tell the American people the truth because you didn't."
25713,-3,1,"60,000 felons, fugitives and stalkers have been denied handguns."
9475,-3,1,"Actually it was a town hall, and I said I would cut taxes for middle- class families, and that's what I've done, by $3,600.00."
8778,-3,1,"When you have a report, as we did recently, that six out of 10 CONUS Divisions in this country - Continental United States Army Divisions - simply could not pass a readiness test: that two out of three divisions that were to be allocated to the so-called Rapid Deployment Force could not meet a readiness test."
21359,-3,1,Because the deficit now has been building up for 12 years.
8411,-3,1,"As far as aid for school construction is concerned, I favor that, as Senator Kennedy did, in January of this year, when he said he favored that rather than aid to s- teacher salaries."
17655,-3,1,Half -- one out of two of the full-time college students in the United States are receiving some form of Federal aid.
2591,-3,1,The proof of that is 1 out of 6 people in poverty.
16677,-3,1,We estimate that those programs would add a hundred billion dollars minimum and probably two hundred billion dollars - uhh maximum each year to the federal budget.
20111,-3,1,"We still gave tax cuts to 15 million working Americans, and now I've got a plan that's been out there for two years, it could have been passed already, but instead the Republicans shut the government down to try to force their budget and their plan on me, and I couldn't take that."
19372,-3,1,"What about drugs that have increased, doubled in the last 44 months?"
6595,-3,1,He voted to increase taxes 98 times.
33991,-3,1,"You know, half of all immigrants -- undocumented immigrants in our country -- actually pay federal income tax."
16542,-3,1,"But I am uh - very glad to point out that since 1969, during a Republican administrations, we have had ten million people taken off of the tax rolls at the lower end of the taxpayer area."
